Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Skinny Legends,8,,Skinny Legends,0,,Skinny Legends,4
Mack Wickell,2,,Mack Wickell,0,,Mack Wickell,3
Team Matigale,5,,Team Matigale,0,,Team Matigale,8
Team MBF,5,,Team MBF,0,,Team MBF,2
Team Bag-Bo,5,,Team Bag-Bo,0,,Team Bag-Bo,6
Fellowship of the Beer,5,,Fellowship of the Beer,3,,Fellowship of the Beer,3
"Not Great, Not Terrible",6,,"Not Great, Not Terrible",0,,"Not Great, Not Terrible",6
I Am Groot,6,,I Am Groot,0,,I Am Groot,8
