Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-Jan,12/13/2020 18:40,Mack Wickell,7,Pixels,x,7
1-Jan,12/13/2020 18:40,Fellowship of the Beer,7,pixels,x,7
1-Jan,12/13/2020 18:41,I Am Groot,3,Pixels,x,3
1-Jan,12/13/2020 18:41,Skinny Legends,7,pixels,x,7
1-Jan,12/13/2020 18:41,Team Bag-Bo,7,pixels,x,7
1-Jan,12/13/2020 18:41,Team Matigale,3,pixels,x,3
1-Jan,12/13/2020 18:41,Team MBF,3,Pixels,x,3
1-Jan,12/13/2020 18:41,"Not Great, Not Terrible",5,Pixels,x,5
2-Jan,12/13/2020 18:42,Mack Wickell,5,Greece,x,5
2-Jan,12/13/2020 18:42,I Am Groot,1,Greece,x,1
2-Jan,12/13/2020 18:42,Team Bag-Bo,1,greece,x,1
2-Jan,12/13/2020 18:42,Team Matigale,7,Greece,x,7
2-Jan,12/13/2020 18:42,Team MBF,5,Croatia,,0
2-Jan,12/13/2020 18:43,"Not Great, Not Terrible",1,Greece,x,1
2-Jan,12/13/2020 18:43,Fellowship of the Beer,3,Turkey,,0
2-Jan,12/13/2020 18:43,Skinny Legends,1,portugal,,0
3-Jan,12/13/2020 18:44,Skinny Legends,5,watchmen,x,5
3-Jan,12/13/2020 18:44,Fellowship of the Beer,5,Watchmen,x,5
3-Jan,12/13/2020 18:44,"Not Great, Not Terrible",7,Watchmen,x,7
3-Jan,12/13/2020 18:44,Mack Wickell,3,Watchmen,x,3
3-Jan,12/13/2020 18:44,I Am Groot,5,Watchmen,x,5
3-Jan,12/13/2020 18:45,Team Bag-Bo,5,watchmen,x,5
3-Jan,12/13/2020 18:45,Team Matigale,5,Watchmen,x,5
3-Jan,12/13/2020 18:46,Team MBF,1,Batman,,0
4-Jan,12/13/2020 18:47,Skinny Legends,3,kubrick,x,3
4-Jan,12/13/2020 18:47,Team Matigale,1,Stanley Kubrick,x,1
4-Jan,12/13/2020 18:47,Fellowship of the Beer,1,Stanley Kubrick,x,1
4-Jan,12/13/2020 18:47,I Am Groot,7,Stanley Kubrick,x,7
4-Jan,12/13/2020 18:47,"Not Great, Not Terrible",3,Stanley Kubrick,x,3
4-Jan,12/13/2020 18:48,Team Bag-Bo,3,stephen king,,0
4-Jan,12/13/2020 18:48,Team MBF,7,Stanley Kubrick,x,7
4-Jan,12/13/2020 18:48,Mack Wickell,1,Suentin Karantino,,0
1-Feb,12/13/2020 18:58,Mack Wickell,7,Animaniacs,x,7
1-Feb,12/13/2020 18:58,Skinny Legends,7,animaniacs,x,7
1-Feb,12/13/2020 18:58,I Am Groot,7,Animaniacs,x,7
1-Feb,12/13/2020 18:58,Fellowship of the Beer,7,Animaniacs,x,7
1-Feb,12/13/2020 18:59,"Not Great, Not Terrible",7,Animaniacs,x,7
1-Feb,12/13/2020 18:59,Team Bag-Bo,1,juicy legends,,0
1-Feb,12/13/2020 18:59,Team Matigale,1,Adventure Time,,0
1-Feb,12/13/2020 18:59,Team MBF,1,Boondocks,,0
2-Feb,12/13/2020 19:01,I Am Groot,3,Sodium,x,3
2-Feb,12/13/2020 19:00,Team MBF,5,Titanium,,0
2-Feb,12/13/2020 19:01,Team Matigale,5,Sodium (Na),x,5
2-Feb,12/13/2020 19:01,"Not Great, Not Terrible",1,Zinc,,0
2-Feb,12/13/2020 19:01,Team Bag-Bo,7,sodium,x,7
2-Feb,12/13/2020 19:02,Mack Wickell,5,Sodium,x,5
2-Feb,12/13/2020 19:02,Skinny Legends,1,tellurium,,0
2-Feb,12/13/2020 19:02,Fellowship of the Beer,1,Bromide,,0
3-Feb,12/13/2020 19:03,I Am Groot,1,Pancetta,x,1
3-Feb,12/13/2020 19:03,Mack Wickell,3,"Pancetta or guanciale, you could use either I think but I'll say pancetta",x,3
3-Feb,12/13/2020 19:03,Team MBF,7,Pancetta,x,7
3-Feb,12/13/2020 19:03,Team Bag-Bo,5,"guanciale, but in the states pancetta",x,5
3-Feb,12/13/2020 19:03,Fellowship of the Beer,3,prosciutto,x,3
3-Feb,12/13/2020 19:03,Skinny Legends,3,ham (panchetta?),x,3
3-Feb,12/13/2020 19:04,"Not Great, Not Terrible",5,Pancetta (delicious Italian bacon),x,5
3-Feb,12/13/2020 19:04,Team Matigale,3,pancetta,x,3
4-Feb,12/13/2020 19:05,Mack Wickell,1,Chess Boxing,x,1
4-Feb,12/13/2020 19:05,Team Bag-Bo,3,no clue,,0
4-Feb,12/13/2020 19:06,I Am Groot,5,Log Rolling,,0
4-Feb,12/13/2020 19:06,Team Matigale,7,chess boxing?,x,7
4-Feb,12/13/2020 19:06,Skinny Legends,5,ultimate crab racing,,0
4-Feb,12/13/2020 19:07,Team MBF,3,survivor,,0
4-Feb,12/13/2020 19:07,"Not Great, Not Terrible",3,Cornhole,,0
4-Feb,12/13/2020 19:07,Fellowship of the Beer,5,Qudditch,,0
1-Mar,12/13/2020 19:19,I Am Groot,2,42,x,2
1-Mar,12/13/2020 19:19,Team MBF,4,42,x,4
1-Mar,12/13/2020 19:19,"Not Great, Not Terrible",2,42,x,2
1-Mar,12/13/2020 19:19,Skinny Legends,5,49,,0
1-Mar,12/13/2020 19:19,Team Bag-Bo,8,42 holes,x,8
1-Mar,12/13/2020 19:20,Fellowship of the Beer,1,48,,0
1-Mar,12/13/2020 19:20,Team Matigale,2,42,x,2
1-Mar,12/13/2020 19:18,Mack Wickell,4,64,,0
2-Mar,12/13/2020 19:22,Team Bag-Bo,6,"Imagine Dragons, Gucci Gang, Post Malone",x,6
2-Mar,12/13/2020 19:22,Skinny Legends,7,"Post Malone, gucci gang, imagine dragons",x,7
2-Mar,12/13/2020 19:23,I Am Groot,6,"#1 = Post Malone, #2 = Havana, #5 = Imagine Dragons",x,6
2-Mar,12/13/2020 19:23,Mack Wickell,6,"Havana, post Malone, Gucci gang",x,6
2-Mar,12/13/2020 19:23,Team Matigale,8,"Post Malone, Imagine Dragons, Havana,",x,8
2-Mar,12/13/2020 19:24,Fellowship of the Beer,6,"Post Malone, Imagine Dragons, Havana",x,6
2-Mar,12/13/2020 19:24,Team MBF,4,"Imagine Dragons, Shape of You, Havana",x,4
2-Mar,12/13/2020 19:24,"Not Great, Not Terrible",4,"Havana, Perfect, Post Malone",x,4
3-Mar,12/13/2020 19:26,Mack Wickell,2,High compression,,0
3-Mar,12/13/2020 19:26,I Am Groot,4,High Capacity,x,4
3-Mar,12/13/2020 19:26,Team Bag-Bo,4,High capacity,x,4
3-Mar,12/13/2020 19:26,Team Matigale,4,High Compact,,0
3-Mar,12/13/2020 19:26,"Not Great, Not Terrible",6,High Capacity,x,6
3-Mar,12/13/2020 19:26,Team MBF,2,high composition,,0
3-Mar,12/13/2020 19:27,Fellowship of the Beer,4,High Clarity,,0
3-Mar,12/13/2020 19:27,Skinny Legends,2,high conversion,,0
4-Mar,12/13/2020 19:28,I Am Groot,8,Knock it out of the park,x,8
4-Mar,12/13/2020 19:28,Skinny Legends,4,knock it out of the park,x,4
4-Mar,12/13/2020 19:28,Team MBF,8,Knock it out of the park,x,8
4-Mar,12/13/2020 19:28,Mack Wickell,8,"Knock it out of the park (I dont dance, I know you can - name the reference)",x,8
4-Mar,12/13/2020 19:29,"Not Great, Not Terrible",8,Knock it out of the park,x,8
4-Mar,12/13/2020 19:29,Team Bag-Bo,2,kill it,,0
4-Mar,12/13/2020 19:29,Team Matigale,6,kiling it!,,0
4-Mar,12/13/2020 19:30,Fellowship of the Beer,8,keep your eye on the ball,,0
1-Apr,12/13/2020 19:43,Skinny Legends,2,"luigi, toad, peach",,0
1-Apr,12/13/2020 19:44,Mack Wickell,2,"Luigi, Yoshi, Toad",,0
1-Apr,12/13/2020 19:44,Fellowship of the Beer,2,"Luigi, Toad, Daisy",,0
1-Apr,12/13/2020 19:44,Team MBF,6,"Luigi, Guido, Peach",,0
1-Apr,12/13/2020 19:44,Team Matigale,2,"Luigi, Toad, Yoshi",,0
1-Apr,12/13/2020 19:44,Team Bag-Bo,6,"Luigi, Wario, and Yoshi",x,6
1-Apr,12/13/2020 19:44,I Am Groot,2,"Luigi, Toad, Yoshi",,0
1-Apr,12/13/2020 19:45,"Not Great, Not Terrible",2,"Luigi, Princess Peach, Toad",,0
2-Apr,12/13/2020 19:46,I Am Groot,4,Haiti,,0
2-Apr,12/13/2020 19:46,Mack Wickell,4,Ethiopia,,0
2-Apr,12/13/2020 19:47,Skinny Legends,4,australia,,0
2-Apr,12/13/2020 19:47,Team Matigale,4,Papua New Guinea,x,4
2-Apr,12/13/2020 19:47,"Not Great, Not Terrible",4,Ivory Coast,,0
2-Apr,12/13/2020 19:47,Team Bag-Bo,2,somewhere in Africa,,0
2-Apr,12/13/2020 19:48,Fellowship of the Beer,4,Guyana,,0
2-Apr,12/13/2020 19:49,Team MBF,2,Samoa,,0
3-Apr,12/13/2020 19:49,Team Bag-Bo,8,Shiva,x,8
3-Apr,12/13/2020 19:50,Fellowship of the Beer,8,Vishnu,,0
3-Apr,12/13/2020 19:50,Mack Wickell,6,Ganeesha,,0
3-Apr,12/13/2020 19:50,Team Matigale,6,Shiva,x,6
3-Apr,12/13/2020 19:50,I Am Groot,6,Shiva,x,6
3-Apr,12/13/2020 19:51,"Not Great, Not Terrible",6,Kali,,0
3-Apr,12/13/2020 19:51,Team MBF,4,?,,0
3-Apr,12/13/2020 19:51,Skinny Legends,6,vishnu,,0
4-Apr,12/13/2020 19:52,Skinny Legends,8,in da lab,,0
4-Apr,12/13/2020 19:52,Mack Wickell,8,I think he runs into the Arctic?,x,8
4-Apr,12/13/2020 19:53,I Am Groot,8,Arctic Circle,x,8
4-Apr,12/13/2020 19:53,Team Bag-Bo,4,Marino Recreational Center,,0
4-Apr,12/13/2020 19:53,Team Matigale,8,the Arctic,x,8
4-Apr,12/13/2020 19:53,Fellowship of the Beer,6,wales,,0
4-Apr,12/13/2020 19:54,"Not Great, Not Terrible",8,The arctic,x,8
4-Apr,12/13/2020 19:54,Team MBF,8,in the lab,,0
