Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-1,44157.77381,Team Jax,7,Freddy Mercury,x,7
1-1,44157.77385,Josh Allen is Elite,7,Freddie Mercury,x,7
1-1,44157.77387,Fellowship of the Beer,7,Freddie Mercury,x,7
1-1,44157.77389,Blazin Asian,7,Freddie Mercury,x,7
1-1,44157.774,Skinny Legends,7,freddie mercury,x,7
1-1,44157.77409,Team Matigale,7,Freddie Mercury!,x,7
1-1,44157.77429,Team Bag-Bo,7,Freddie Mercury,x,7
1-1,44157.77462,"Not Great, Not Terrible",7,Freddie Mercury (from Queen),x,7
1-1,44157.77497,Team MBF,7,Freddy Mercury ,x,7
1-2,44157.77552,Team MBF,5,Gone Girl ,x,5
1-2,44157.77562,Team Jax,5,Gone Girl,x,5
1-2,44157.77566,Blazin Asian,5,Gone Girl,x,5
1-2,44157.77574,Team Bag-Bo,5,Gone Girl,x,5
1-2,44157.77576,Skinny Legends,5,gone girl,x,5
1-2,44157.77578,Josh Allen is Elite,5,Gone Girl,x,5
1-2,44157.77579,Fellowship of the Beer,1,Gone Girl,x,1
1-2,44157.77612,"Not Great, Not Terrible",1,Chasing Amy,,0
1-2,44157.7762,Team Matigale,5,Gone Girl,x,5
1-3,44157.77671,Team Jax,3,AT&T,x,3
1-3,44157.77682,Josh Allen is Elite,3,AT&T (Made this question for my halloween week),x,3
1-3,44157.77682,Blazin Asian,3,AT&T,x,3
1-3,44157.77695,Skinny Legends,3,at&t,x,3
1-3,44157.77698,"Not Great, Not Terrible",5,AT&T,x,5
1-3,44157.77705,Fellowship of the Beer,3,AT&T,x,3
1-3,44157.77734,Team Bag-Bo,3,AT&T,x,3
1-3,44157.77751,Team Matigale,3,AT&T,x,3
1-3,44157.77773,Team MBF,3,Comcast,x,3
1-4,44157.77871,Fellowship of the Beer,5,Volleyball,x,5
1-4,44157.77881,Team Jax,1,Volleyball,x,1
1-4,44157.77885,Team MBF,1,Volleyball,x,1
1-4,44157.77895,Team Bag-Bo,1,basketball,,0
1-4,44157.77905,Josh Allen is Elite,1,Volleyball,x,1
1-4,44157.77909,Blazin Asian,1,Volleyball,x,1
1-4,44157.7791,Skinny Legends,1,volleyball,x,1
1-4,44157.77914,"Not Great, Not Terrible",3,Volleyball,x,3
1-4,44157.7794,Team Matigale,1,volleyball,x,1
2-1,44157.78751,Skinny Legends,1,US & Mexico,,0
2-1,44157.78781,Team Jax,5,Mexico and The Republic of Texas,x,5
2-1,44157.78784,Fellowship of the Beer,7,"Republic of Mexico, Republic of Texas",x,7
2-1,44157.78803,"Not Great, Not Terrible",5,Mexico and The Republic of Texas,x,5
2-1,44157.78807,Josh Allen is Elite,3,Texas and Mexico,x,3
2-1,44157.78812,Blazin Asian,1,the fire nation vs the earth kingdom,,0
2-1,44157.78813,Team Matigale,3,"mexico, texas",x,3
2-1,44157.78922,Team MBF,1,Mexico and the US ,x,1
