Question,Time,Team,Wager,Answer,Correct,Points_Earned
2-1,44157.78792,Team Bag-Bo,7,The US (Texas) versus Mexico (Sarah vs los gringos),x,7
2-2,44157.79045,Josh Allen is Elite,7,Schindler's List,x,7
2-2,44157.79051,Blazin Asian,7,Schindler's List,x,7
2-2,44157.79058,Team Jax,7,Schindler's List,x,7
2-2,44157.79096,Team MBF,5,Schindler's List ,x,5
2-2,44157.791,"Not Great, Not Terrible",7,Schindler's List,x,7
2-2,44157.79103,Team Matigale,7,schindler's list,x,7
2-2,44157.79114,Fellowship of the Beer,3,Schindler's List,x,3
2-2,44157.79115,Team Bag-Bo,1,the girl in the red jacket,,0
2-2,44157.79195,Skinny Legends,7,schindlers list,x,7
2-3,44157.79242,Team Jax,3,e^x,x,3
2-3,44157.79262,Team Bag-Bo,5,e^x,x,5
2-3,44157.79275,Josh Allen is Elite,5,e^x (e to the x),x,5
2-3,44157.79295,Fellowship of the Beer,5,Tangent,,0
2-3,44157.79296,Team Matigale,5,e^x,x,5
2-3,44157.79312,Blazin Asian,3,sorry mrs prior,,0
2-3,44157.7932,Skinny Legends,5,e^x,x,5
2-3,44157.7932,"Not Great, Not Terrible",1,1,,0
2-3,44157.79338,Team MBF,3,f(x) = x^0,,0
2-4,44157.79443,Skinny Legends,3,y&g,,0
2-4,44157.79444,Team Jax,1,c and g,x,1
2-4,44157.79452,Team MBF,7,G and H ,,0
2-4,44157.79456,"Not Great, Not Terrible",3,C and G,x,3
2-4,44157.7946,Team Bag-Bo,3,Y and U,,0
2-4,44157.79461,Blazin Asian,5,b & g,,0
2-4,44157.79479,Josh Allen is Elite,1,C and G,x,1
2-4,44157.79513,Fellowship of the Beer,1,m and n ,,0
2-4,44157.79562,Team Matigale,1,g and h ,,0
3-1,44157.80006,Team Jax,8,Go,x,8
3-1,44157.80021,Team Bag-Bo,8,Go,x,8
3-1,44157.80026,Blazin Asian,8,Go,x,8
3-1,44157.80028,Skinny Legends,8,GO and if anybody from extreme ventilation doesn't get this im goingto be very disappointed,x,8
3-1,44157.80075,Josh Allen is Elite,8,Othelo,,0
3-1,44157.80076,Team Matigale,2,mahjong,,0
3-1,44157.80086,Fellowship of the Beer,2,black and white flippy bits,,0
3-1,44157.80095,"Not Great, Not Terrible",8,Go,x,8
3-1,44157.80223,Team MBF,2,trivial pursuit ,,0
3-2,44157.80265,Team Jax,6,Through the Looking Glass,x,6
3-2,44157.80275,Fellowship of the Beer,8,Through the Looking Glass,x,8
3-2,44157.80288,Skinny Legends,6,alice in wonderland,,0
3-2,44157.80289,Josh Allen is Elite,2,no idea,,0
3-2,44157.80353,Team Bag-Bo,6,Through the Looking Glass,x,6
3-2,44157.80359,Blazin Asian,6,the looking glass,x,6
3-2,44157.80348,Team MBF,6,Alice through the looking glass,x,6
3-2,44157.80367,Team Matigale,6,through the looking glass,x,6
3-2,44157.80453,"Not Great, Not Terrible",4,Through the Looking Glass,x,4
3-3,44157.80516,Skinny Legends,2,jcp,,0
3-3,44157.80548,Team Bag-Bo,2,sounds like a good friend,,0
3-3,44157.80573,Blazin Asian,2,Gap,,0
3-3,44157.80584,Fellowship of the Beer,4,JC Penny,,0
3-3,44157.80599,Josh Allen is Elite,3,Sacks Fifth Avenue,,0
3-3,44157.80601,"Not Great, Not Terrible",2,Bloomingdales,x,2
3-3,44157.80607,Team Jax,2,Bloomingdale's,x,2
3-3,44157.8063,Team Matigale,4,jc penny,,0
3-3,44157.80698,Team MBF,4,Lord and Taylor ,,0
3-4,11/22/2020 19:23:57,Team Bag-Bo,4,North Dakota ,,0
3-4,11/22/2020 19:24:03,Skinny Legends,4,"minnesota, eh?",,0
3-4,11/22/2020 19:24:09,Blazin Asian,4,virginia,,0
3-4,11/22/2020 19:24:12,Team Jax,4,Minnesota,,0
3-4,11/22/2020 19:25:03,Josh Allen is Elite,5,Michigan,x,5
3-4,11/22/2020 19:25:06,"Not Great, Not Terrible",6,Michigan,x,6
3-4,11/22/2020 19:25:09,Fellowship of the Beer,6,New Jersey,,0
3-4,11/22/2020 19:25:46,Team Matigale,8,michigan,x,8
3-4,11/22/2020 19:27:32,Team MBF,8,Oregon ,,0
4-1,11/22/2020 19:41:55,Team Jax,8,Portugese,x,8
4-1,11/22/2020 19:42:17,Josh Allen is Elite,2,Cantonese,,0
4-1,11/22/2020 19:42:27,Team Bag-Bo,2,Macanese,,0
4-1,11/22/2020 19:42:40,Skinny Legends,2,russiAN,,0
4-1,11/22/2020 19:42:50,Team MBF,4,Arabic ,,0
4-1,11/22/2020 19:42:54,Blazin Asian,6,Dutch,,0
4-1,11/22/2020 19:42:57,"Not Great, Not Terrible",2,French,,0
4-1,11/22/2020 19:44:14,Team Matigale,2,cantonese,,0
4-1,11/22/2020 19:44:23,Fellowship of the Beer,2,Portugese ,x,2
4-2,11/22/2020 19:45:19,Team Jax,6,Daedalus,x,6
4-2,11/22/2020 19:45:53,Team Matigale,8,Daedalus,x,8
4-2,11/22/2020 19:45:54,"Not Great, Not Terrible",8,Daedalus,x,8
4-2,11/22/2020 19:46:02,Team MBF,2,zeus,,0
4-2,11/22/2020 19:46:03,Team Bag-Bo,4,Jesus,,0
4-2,11/22/2020 19:46:28,Josh Allen is Elite,4,E,,0
4-2,11/22/2020 19:46:30,Blazin Asian,4,Hades,,0
4-2,11/22/2020 19:46:56,Skinny Legends,4,icarus' daddy is zues,,0
4-2,11/22/2020 19:47:05,Fellowship of the Beer,4,"Daedalus (butchering the spelling here, same as in the 4th book of Percy Jackson)",x,4
4-3,11/22/2020 19:48:01,"Not Great, Not Terrible",6,Hollywood Squares,x,6
4-3,11/22/2020 19:48:08,Josh Allen is Elite,8,Hollywood Squares,x,8
4-3,11/22/2020 19:48:22,Team Jax,2,Celebrity Squares,,0
4-3,11/22/2020 19:48:25,Skinny Legends,6,"whose line is it, anyway?????",,0
4-3,11/22/2020 19:48:36,Team MBF,6,tic tac toe ,,0
4-3,11/22/2020 19:48:38,Team Bag-Bo,6,Wheel of Fortune,,0
4-3,11/22/2020 19:48:41,Blazin Asian,2,who wants to be a millionaire,,0
4-3,11/22/2020 19:50:02,Fellowship of the Beer,6,are you smarter than a 5th grader?,,0
4-3,11/22/2020 19:50:21,Team Matigale,4,wheel of fortune,,0
4-4,11/22/2020 19:51:32,Skinny Legends,8,49,,0
4-4,11/22/2020 19:51:49,Fellowship of the Beer,8,49,,0
4-4,11/22/2020 19:51:50,Team MBF,8,50,,0
4-4,11/22/2020 19:52:03,Josh Allen is Elite,6,25,,0
4-4,11/22/2020 19:52:09,Blazin Asian,8,50,,0
4-4,11/22/2020 19:52:10,Team Jax,4,49,,0
4-4,11/22/2020 19:52:20,Team Bag-Bo,8,40,x,8
4-4,11/22/2020 19:53:03,Team Matigale,6,30,,0
4-4,11/22/2020 19:53:46,"Not Great, Not Terrible",4,50(ish),,0
