Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-1,44101.65008,Skinny Legends,3,sistine chapel,x,3
1-1,44101.65029,Fellowship of the Beer,5,Cistine Chapel,x,5
1-1,44101.65038,Team Name,5,The basilica,,0
1-1,44101.6505,Team MBF,5,Sistine Chapel,x,5
1-1,44101.65059,Blazin Asian,3,The Duomo,,0
1-1,44101.65062,Team Jax,1,Sistine Chapel,x,1
1-1,44101.6508,Josh Allen is Elite,1,Chapel of Eden,,0
1-1,44101.65142,Team Bag-Bo,1,Eden,,0
1-2,44101.65199,Fellowship of the Beer,7,peter pan,x,7
1-2,44101.65209,Skinny Legends,7,peter pan,x,7
1-2,44101.65215,Team MBF,7,Peter Pan,x,7
1-2,44101.65228,Josh Allen is Elite,7,Peter Pan,x,7
1-2,44101.65259,Blazin Asian,1,no clue,,0
1-2,44101.65272,Team Bag-Bo,3,Peter Pan,x,3
1-2,44101.65277,Team Name,1,icarus,,0
1-2,44101.65285,Team Jax,5,Peter Pan,x,5
1-3,44101.65374,Team Name,3.5,africa and asia,x,3.5
1-3,44101.65385,Team MBF,1.5,Africa and Australia ,x,1.5
1-3,44101.65389,Fellowship of the Beer,3,Africa and Antarctica ,x,3
1-3,44101.6539,Skinny Legends,2.5,africa and australia,x,2.5
1-3,44101.65394,Josh Allen is Elite,1.5,Asia and Africa,x,1.5
1-3,44101.65405,Blazin Asian,3.5,Asia & Africa,x,3.5
1-3,44101.65414,Team Bag-Bo,2.5,Africa and Australia,x,2.5
1-3,44101.65466,Team Jax,1.5,"Australia, Africa",x,1.5
1-4,44101.6555,Team Jax,7,MCL,x,7
1-4,44101.65551,Fellowship of the Beer,1,MCL,x,1
1-4,44101.65557,Blazin Asian,5,MCL,x,5
1-4,44101.65562,Team Name,3,meniscus,,0
1-4,44101.65562,Skinny Legends,1,MCL,x,1
1-4,44101.65563,Josh Allen is Elite,5,MCL,x,5
1-4,44101.65572,Team MBF,1,meniscus ,,0
1-4,44101.65634,Team Bag-Bo,7,MCL,x,7
2-1,44101.66325,Fellowship of the Beer,7,American Ninja Warrior,x,7
2-1,44101.66333,Team MBF,7,American Ninja Warrior ,x,7
2-1,44101.66345,Skinny Legends,1,ice man,,0
2-1,44101.66359,Team Name,3,american ninja warrior,x,3
2-1,44101.66362,Team Jax,7,American Ninja Warrior,x,7
2-1,44101.66377,Josh Allen is Elite,1,Big Brother,,0
2-1,44101.66381,Blazin Asian,1,no clue,,0
2-1,44101.66404,Team Bag-Bo,1,America Ninja Warrior,x,1
2-2,44101.66482,Fellowship of the Beer,1,Matisse,,0
2-2,44101.66494,Blazin Asian,5,Moett,x,5
2-2,44101.66498,Team MBF,1,Minot ,,0
2-2,44101.66504,Josh Allen is Elite,7,Evian,,0
2-2,44101.66543,Team Bag-Bo,3,Moet Hennessy,x,3
2-2,44101.66553,Team Name,7,moet,x,7
2-2,44101.66567,Team Jax,5,moët,x,5
2-2,44101.66578,Skinny Legends,3,Moet,x,3
2-3,44101.66641,Fellowship of the Beer,3,The Cohen Brothers,,0
2-3,44101.66664,Team Bag-Bo,5,The Warner Brothers!,,0
2-3,44101.66674,Team Jax,1,Wozowski brothers,x,1
2-3,44101.66704,Team Name,1,nolan,,0
2-3,44101.66715,Josh Allen is Elite,3,The Cohen Brothers,,0
2-3,44101.66719,Blazin Asian,3,not sure,,0
2-3,44101.6672,Team MBF,3,Goldbergs ,,0
2-3,44101.66722,Skinny Legends,5,cohen brothers? idk we do not speak da true true,,0
2-4,44101.66793,Skinny Legends,7,john wick,,0
2-4,44101.66794,Josh Allen is Elite,5,No idea,,0
2-4,44101.66799,Fellowship of the Beer,5,Mason Crosby,,0
2-4,44101.66826,Team MBF,5,Ray Bourque ,,0
2-4,44101.66828,Team Name,5,yaromir jagr,x,5
2-4,44101.66852,Team Bag-Bo,7,Tiger Woods,,0
2-4,44101.66855,Blazin Asian,7,Ovechkin,,0
2-4,44101.66862,Team Jax,3,Sellane,,0
3-1,44101.67668,Fellowship of the Beer,1,Pitted fruit,x,1
3-1,44101.67672,Team Bag-Bo,6,Drupe,x,6
3-1,44101.67683,Team MBF,1,Pitted Fruit??????,x,1
3-1,44101.67696,Josh Allen is Elite,2,not sure,,0
3-1,44101.67708,Team Name,4,drupe,x,4
3-1,44101.67708,Blazin Asian,1,Pit Fruits,x,1
3-1,44101.67714,Skinny Legends,1,pitted fruits,x,1
3-1,44101.67741,Team Jax,2,Dry Fruit,,0
3-2,44101.67792,Josh Allen is Elite,4,no idea,,0
3-2,44101.67821,Fellowship of the Beer,4,The many named man (I don't know),,0
3-2,44101.67821,Skinny Legends,4,the lusty argonian maid,,0
3-2,44101.67823,Blazin Asian,4,Fire and Ice,,0
3-2,44101.67824,Team Name,8,the rime of the ancient mariner,x,8
3-2,44101.67857,Team MBF,4,?,,0
3-2,44101.67861,Team Jax,8,The Ryme of the Ancient Mariner,x,8
3-2,44101.67876,Team Bag-Bo,2,Love,,0
3-3,44101.67946,Josh Allen is Elite,6,not a clue,,0
3-3,44101.67985,Team Bag-Bo,4,Aqua vitae,x,4
3-3,44101.67994,Fellowship of the Beer,6,Whiskae,,0
3-3,44101.67996,Skinny Legends,6,aqua vitae,x,6
3-3,44101.68001,Team MBF,6,Elixir ,,0
3-3,44101.68017,Team Jax,4,aquus de vitra,,0
3-3,44101.68022,Team Name,2,aqua vita,x,2
3-3,44101.68029,Blazin Asian,6,Whisk la vida,,0
3-4,44101.68118,Fellowship of the Beer,8,Young Thug,,0
3-4,44101.6812,Team Bag-Bo,4,Cali Swag,x,4
3-4,44101.68123,Team Name,6,cali swag district,x,6
3-4,44101.68173,Josh Allen is Elite,4,Cali Swag?,x,4
3-4,44101.68174,Team Jax,6,P Diddy,,0
3-4,44101.68194,Blazin Asian,8,?,,0
3-4,44101.68195,Skinny Legends,8,dougie adams,,0
3-4,44101.68275,Team MBF,8,Lil Something? ,,0
4-1,44101.6873,Team Bag-Bo,8,Alex Honnold,x,8
4-1,44101.6873,Team Jax,8,Alex Hunnold,x,8
4-1,44101.68731,Skinny Legends,8,alex honnold,x,8
4-1,44101.68742,Blazin Asian,8,Alex Honnold,x,8
4-1,44101.68743,Josh Allen is Elite,2,I'm studying this in a class and I still don't know,,0
4-1,44101.68748,Team MBF,2,Chris....?,,0
4-1,44101.68764,Team Name,4,alex honnald,x,4
4-1,44101.68805,Fellowship of the Beer,2,"Jacob Collier (I know its not him, but they look similar)",,0
4-2,44101.69082,Fellowship of the Beer,4,Cocoon ,,0
4-2,44101.69083,Team MBF,4,prophase,,0
4-2,44101.69085,Team Name,8,anaphase,x,8
4-2,44101.69102,Skinny Legends,4,telephase,,0
4-2,44101.69123,Team Jax,6,anaphase,x,6
4-2,44101.69127,Blazin Asian,2,Duplication,,0
4-2,44101.6913,Team Bag-Bo,6,anaphase,x,6
4-2,44101.6914,Josh Allen is Elite,4,I'm thinking long and hard...duplication,,0
4-3,44101.69224,Blazin Asian,6,Catherine the Great,x,6
4-3,44101.69233,Josh Allen is Elite,8,Catherine the mf Great,x,8
4-3,44101.69236,Team Bag-Bo,4,Catherine the Great??,x,4
4-3,44101.69244,Team Name,2,catherine the great,x,2
4-3,44101.69254,Fellowship of the Beer,6,Kruschev ,,0
4-3,44101.69267,Team Jax,4,Cathrine the Great,x,4
4-3,44101.69299,Skinny Legends,2,rasputin,,0
4-3,44101.69316,Team MBF,6,Stalin (lol),,0
4-4,44101.69389,Fellowship of the Beer,8,Corn hole,,0
4-4,44101.69433,Team Bag-Bo,2,golf,,0
4-4,44101.69443,Team MBF,8,Corn Hole,,0
4-4,44101.69445,Team Name,6,glassblowing,x,6
4-4,44101.69456,Team Jax,2,Snooker (Also Anonymous Sex),,0
4-4,44101.6947,Josh Allen is Elite,6,cornhole,,0
4-4,44101.69472,Blazin Asian,4,Robert Krafting,,0
4-4,44101.69556,Skinny Legends,6,mini golf,,0
