Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Fellowship of the Beer,6.5,,Fellowship of the Beer,0,,Fellowship of the Beer,2
Team MBF,5,,Team MBF,0,,Team MBF,10
Josh Allen is Elite,8.5,,Josh Allen is Elite,0,,Josh Allen is Elite,3
Team Bag-Bo,7.5,,Team Bag-Bo,0,,Team Bag-Bo,8
Blazin Asian,5,,Blazin Asian,0,,Blazin Asian,4
Skinny Legends,7,,Skinny Legends,0,,Skinny Legends,7
Team Name,8,,Team Name,0,,Team Name,9
Team Jax,8,,Team Jax,0,,Team Jax,8
