Team,Points
Fellowship of the Beer,5.4
Team MBF,4.4
Josh Allen is Elite,5.6
Team Bag-Bo,7
Blazin Asian,4.8
Skinny Legends,5.8
Team Name,6.6
Team Jax,5.4
