Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-1,11/8/2020 15:40:17,Mack Wickell,7,Baskin Robins,x,7
1-1,11/8/2020 15:40:18,Team Bag-Bo,7,Baskin Robins,x,7
1-1,11/8/2020 15:40:24,Josh Allen is Elite,7,Baskin Robbins,x,7
1-1,11/8/2020 15:40:27,Team MBF,7,baskin robins ,x,7
1-1,11/8/2020 15:40:44,Team Matigale,5,Baskin Robbins,x,5
1-1,11/8/2020 15:40:52,Blazin Asian,3,Ben & Jerry's,,0
1-1,11/8/2020 15:40:57,Fellowship of the Beer,7,Baskin Robbins,x,7
1-1,11/8/2020 15:40:58,Team Jax,1,JP Licks,,0
1-1,11/8/2020 15:41:46,"Not Great, Not Terrible",1,Haagendazs,,0
1-2,11/8/2020 15:43:09,Josh Allen is Elite,1,He was a Dean at USC?,x,1
1-2,11/8/2020 15:43:16,Team Jax,3,President of USC,x,1.5
1-2,11/8/2020 15:43:23,Team Bag-Bo,5,Dean at USC,x,5
1-2,11/8/2020 15:43:36,Team MBF,3,Dean at Stanford ,,0
1-2,11/8/2020 15:43:38,Blazin Asian,1,A Dean at USC,x,1
1-2,11/8/2020 15:44:04,Team Matigale,1,"President, Syracuse University",,0
1-2,11/8/2020 15:44:12,"Not Great, Not Terrible",3,Provost / Boston University,,0
1-2,11/8/2020 15:44:24,Fellowship of the Beer,1,Dean of students at Columbia,,0
1-2,11/8/2020 15:42:54,Mack Wickell,1,Vice Provost,,0
1-3,11/8/2020 15:45:42,Mack Wickell,5,Dopler Effect (& Great question!),x,5
1-3,11/8/2020 15:45:42,Team Bag-Bo,3,Doppler Effect,x,3
1-3,11/8/2020 15:45:44,Team Jax,7,Doppler Effect,x,7
1-3,11/8/2020 15:45:44,Josh Allen is Elite,5,Doppler Effect,x,5
1-3,11/8/2020 15:45:48,Fellowship of the Beer,5,Doppler Effect,x,5
1-3,11/8/2020 15:45:52,"Not Great, Not Terrible",7,Doppler Effect,x,7
1-3,11/8/2020 15:45:59,Team Matigale,7,Doppler Effect,x,7
1-3,11/8/2020 15:46:01,Team MBF,1,sound waves,,0
1-3,11/8/2020 15:46:46,Blazin Asian,5,The Effect,,0
1-4,11/8/2020 15:49:20,Team Bag-Bo,1,Danica Patrick,,0
1-4,11/8/2020 15:49:26,Team Jax,5,Lewis Hamilton,x,5
