Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Mack Wickell,4.5,,Mack Wickell,0,,Mack Wickell,4
Team Jax,5,,Team Jax,0,,Team Jax,9
Josh Allen is Elite,5.5,,Josh Allen is Elite,0,,Josh Allen is Elite,5
Blazin Asian,4,,Blazin Asian,0,,Blazin Asian,4
"Not Great, Not Terrible",6,,"Not Great, Not Terrible",0,,"Not Great, Not Terrible",3
Team Matigale,8.5,,Team Matigale,0,,Team Matigale,6
Team Bag-Bo,6,,Team Bag-Bo,6,,Team Bag-Bo,8
Team MBF,3.5,,Team MBF,0,,Team MBF,5
Fellowship of the Beer,6.5,,Fellowship of the Beer,0,,Fellowship of the Beer,10
