Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Team MBF,4,,Team MBF,0,,Team MBF,4
Skinny Legends,7,,Skinny Legends,3,,Skinny Legends,8
Josh Allen is Elite,9.5,,Josh Allen is Elite,0,,Josh Allen is Elite,3
Team Matigale,5,,Team Matigale,3,,Team Matigale,7
Team Bag-Bo,6,,Team Bag-Bo,0,,Team Bag-Bo,5
Team Jax,7,,Team Jax,0,,Team Jax,9
Fellowship of the Beer,8,,Fellowship of the Beer,0,,Fellowship of the Beer,4
Hottentottententententoonstellin,5,,Hottentottententententoonstellin,0,,Hottentottententententoonstellin,4
