Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-1,11/15/2020 18:35:11,Mack Wickell,3,Gore,x,3
1-1,11/15/2020 18:35:22,Fellowship of the Beer,3,Al Gore,x,3
1-1,11/15/2020 18:35:37,"Not Great, Not Terrible",5,Al Gore,x,5
1-1,11/15/2020 18:35:47,Team Bag-Bo,7,Al Gor,x,7
1-1,11/15/2020 18:35:47,Team MBF,3,Al Gore ,x,3
1-1,11/15/2020 18:36:04,Team Matigale,3,Al Gore,x,3
1-2,11/15/2020 18:37:04,Mack Wickell,1,Man-boy,,0
1-2,11/15/2020 18:37:12,Team MBF,1,Captain Marvel ,,0
1-2,11/15/2020 18:37:17,Fellowship of the Beer,1,Caitlyn Jenner,,0
1-2,11/15/2020 18:37:37,Team Bag-Bo,1,penguin,,0
1-2,11/15/2020 18:37:54,Team Matigale,1,Dr. Who,,0
1-2,11/15/2020 18:38:04,"Not Great, Not Terrible",7,Stormfront,x,7
1-3,11/15/2020 18:39:01,Mack Wickell,5,Cold Water,,0
1-3,11/15/2020 18:39:06,Team MBF,5,Love Yourself ,x,5
1-3,11/15/2020 18:39:24,Team Bag-Bo,3,Love Yourself,x,3
1-3,11/15/2020 18:39:25,"Not Great, Not Terrible",3,Love Yourself (and Sorry if that's a bonus point),x,3
1-3,11/15/2020 18:39:27,Fellowship of the Beer,5,Not Baby... but Baby,,0
1-3,11/15/2020 18:39:56,Team Matigale,5,what do you mean,,0
1-4,11/15/2020 18:41:00,Mack Wickell,7,Death Valley,x,7
1-4,11/15/2020 18:41:05,Fellowship of the Beer,7,Death Valley ,x,7
1-4,11/15/2020 18:41:12,Team Bag-Bo,5,Death Valley,x,5
1-4,11/15/2020 18:41:25,Team Matigale,7,Death Valley,x,7
1-4,11/15/2020 18:42:37,"Not Great, Not Terrible",1,The mojave desert is a landmark on its own...?,,0
1-4,11/15/2020 18:42:50,Team MBF,7,Dead Mans ...,,0
2-1,11/15/2020 18:52:23,Fellowship of the Beer,7,Uncharted,x,7
2-1,11/15/2020 18:53:09,Mack Wickell,1,Skyrim,,0
2-1,11/15/2020 18:53:23,Team MBF,1,Call of Duty ,,0
2-1,11/15/2020 18:53:28,Team Bag-Bo,1,Temple run lmao,,0
2-1,11/15/2020 18:53:38,Team Matigale,1,Final Fantasy,,0
2-1,11/15/2020 18:53:40,"Not Great, Not Terrible",7,Uncharted,x,7
2-2,11/15/2020 18:54:15,Mack Wickell,3,John Mulaney,,0
2-2,11/15/2020 18:54:42,Team Bag-Bo,3,Jimmy Kimmel,,0
2-2,11/15/2020 18:54:45,Fellowship of the Beer,1,Chris Rock,x,1
2-2,11/15/2020 18:55:32,"Not Great, Not Terrible",3,Chris Rock,x,3
2-2,11/15/2020 18:55:34,Team Matigale,3,Eddie Murphy,,0
2-2,11/15/2020 18:55:38,Team MBF,3,Miley Cyrus ,,0
2-3,11/15/2020 18:58:32,Team Bag-Bo,7,Ohm,x,7
2-3,11/15/2020 18:58:33,Mack Wickell,7,Ohms,x,7
2-3,11/15/2020 18:58:48,Team Matigale,7,ohms,x,7
2-3,11/15/2020 18:58:52,"Not Great, Not Terrible",5,Ohm,x,5
2-3,11/15/2020 18:58:57,Team MBF,5,volts ,,0
