Question,Time,Team,Wager,Answer,Correct,Points_Earned
2-3,11/15/2020 18:59:13,Fellowship of the Beer,3,Watt (JJ Watt to be precise my dear Watson... NOT TJ),,0
2-4,11/15/2020 19:00:57,Team Bag-Bo,5,1500,x,5
2-4,11/15/2020 19:01:01,Team MBF,7,1100,,0
2-4,11/15/2020 19:01:08,Mack Wickell,5,11 100,,0
2-4,11/15/2020 19:01:17,Team Matigale,5,1200,,0
2-4,11/15/2020 19:01:40,"Not Great, Not Terrible",1,1600,,0
2-4,11/15/2020 19:01:44,Fellowship of the Beer,5,1400,,0
3-1,11/15/2020 19:09:40,Fellowship of the Beer,2,Tail Bone?,,0
3-1,11/15/2020 19:09:46,Mack Wickell,2,Humerus,,0
3-1,11/15/2020 19:10:06,Team Bag-Bo,2,the bread basket,,0
3-1,11/15/2020 19:10:27,Team Matigale,2,upset stomach,,0
3-1,11/15/2020 19:10:59,Team MBF,2,finger ,,0
3-1,11/15/2020 19:11:02,"Not Great, Not Terrible",4,Spare Ribs,x,4
3-2,11/15/2020 19:14:40,Mack Wickell,4,Russia,x,4
3-2,11/15/2020 19:15:16,Fellowship of the Beer,4,Russian Federation ,x,4
3-2,11/15/2020 19:15:28,Team MBF,4,india ,,0
3-2,11/15/2020 19:15:44,Team Bag-Bo,4,Croatia,,0
3-2,11/15/2020 19:16:07,Team Matigale,6,Russia,x,6
3-2,11/15/2020 19:16:15,"Not Great, Not Terrible",2,Russia,x,2
3-3,11/15/2020 19:16:44,Mack Wickell,6,France,,0
3-3,11/15/2020 19:16:49,Team Bag-Bo,6,England,,0
3-3,11/15/2020 19:16:55,Team MBF,6,Spain,,0
3-3,11/15/2020 19:17:37,Fellowship of the Beer,6,Spain,,0
3-3,11/15/2020 19:18:01,"Not Great, Not Terrible",6,Germany,x,6
3-3,11/15/2020 19:18:05,Team Matigale,8,United Kingdom,,0
3-4,11/15/2020 19:19:10,Team Bag-Bo,8,Numbers,x,8
3-4,11/15/2020 19:19:16,Fellowship of the Beer,8,Numbers,x,8
3-4,11/15/2020 19:19:31,Mack Wickell,8,Numbers,x,8
3-4,11/15/2020 19:19:37,"Not Great, Not Terrible",8,Numbers,x,8
3-4,11/15/2020 19:19:54,Team Matigale,4,Numbers,x,4
3-4,11/15/2020 19:20:12,Team MBF,8,?,,0
4-1,11/15/2020 19:33:08,Team Bag-Bo,2,Least Transmissible Expose,,0
4-1,11/15/2020 19:33:28,Team MBF,2,long telephone expanse,,0
4-1,11/15/2020 19:33:43,Mack Wickell,2,Large Tower Emissions,,0
4-1,11/15/2020 19:33:43,Team Matigale,2,limited term expansion,,0
4-1,11/15/2020 19:34:06,Fellowship of the Beer,2,Longrange Transmission Emitter,,0
4-1,11/15/2020 19:34:24,"Not Great, Not Terrible",4,Long Term Evolution,x,4
4-2,11/15/2020 19:35:47,Mack Wickell,4,Kisses,,0
4-2,11/15/2020 19:35:52,Team MBF,6,hersey's kiss,,0
4-2,11/15/2020 19:36:15,Team Matigale,4,Hershey's kiss,,0
4-2,11/15/2020 19:36:19,Fellowship of the Beer,4,Hershey's Kisses,,0
4-2,11/15/2020 19:36:39,"Not Great, Not Terrible",6,Kiss,,0
4-2,11/15/2020 19:36:44,Team Bag-Bo,6,Reese's,x,6
4-3,11/15/2020 19:40:06,"Not Great, Not Terrible",8,Mitt Romney,x,8
4-3,11/15/2020 19:40:16,Mack Wickell,8,Mitt Romney,x,8
4-3,11/15/2020 19:40:18,Fellowship of the Beer,6,"Spike Lee, fun fact, they are not brothers",,0
4-3,11/15/2020 19:40:26,Team Bag-Bo,8,ted cruz,,0
4-3,11/15/2020 19:40:29,Team Matigale,8,Mitt Romney,x,8
4-3,11/15/2020 19:40:30,Team MBF,8,Mitt Romney,x,8
4-4,11/15/2020 19:40:59,Mack Wickell,6,Will Smith,,0
4-4,11/15/2020 19:41:02,Team Bag-Bo,2,skimpy,,0
4-4,11/15/2020 19:41:06,Fellowship of the Beer,8,Max,,0
4-4,11/15/2020 19:41:18,Team MBF,4,Spike,,0
4-4,11/15/2020 19:41:42,Team Matigale,6,Max,,0
4-4,11/15/2020 19:42:04,"Not Great, Not Terrible",2,Sam,x,2
