Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Team Matigale,6,,Team Matigale,,,Team Matigale,6
Team MBF,5,,Team MBF,,,Team MBF,7
Mack Wickell,8,,Mack Wickell,3,,Mack Wickell,5
Team Bag-Bo,6,,Team Bag-Bo,,,Team Bag-Bo,5
Fellowship of the Beer,9,,Fellowship of the Beer,,,Fellowship of the Beer,6
"Not Great, Not Terrible",7,,"Not Great, Not Terrible",,,"Not Great, Not Terrible",8
