,Player,Team,Position,Salary
95,Ruthy Hebard, CHICAGO SKY,FORWARD,65250.0
96,Mikiah Herbert Harrigan, MINNESOTA LYNX,FORWARD,65250.0
97,Kitija Laksa, SEATTLE STORM,GUARD,62500.0
98,Megan Walker, NEW YORK LIBERTY,FORWARD,62500.0
99,Jocelyn Willoughby, NEW YORK LIBERTY,FORWARD,62500.0
100,Megan Gustafson, DALLAS WINGS,FORWARD,62000.0
101,Shatori Walker-Kimbrough, PHOENIX MERCURY,GUARD,60867.0
102,Kylee Shook, NEW YORK LIBERTY,FORWARD,59750.0
103,Brittany Brewer, ATLANTA DREAM,CENTER,59750.0
104,Luisa Geiselsoder, DALLAS WINGS,CENTER,59750.0
105,Leonie Fiebich, LOS ANGELES SPARKS,FORWARD,59750.0
106,Kathleen Doyle, INDIANA FEVER,GUARD,59750.0
107,Crystal Dangerfield, MINNESOTA LYNX,GUARD,59750.0
108,Kaila Charles, CONNECTICUT SUN,GUARD,59750.0
109,Leaonna Odom, NEW YORK LIBERTY,FORWARD,59750.0
110,Kelsey Mitchell, INDIANA FEVER,GUARD,58978.0
111,Diamond DeShields, CHICAGO SKY,GUARD,58978.0
112,Gabby Williams, CHICAGO SKY,FORWARD,58978.0
113,Asia Durr, NEW YORK LIBERTY,GUARD,57000.0
114,Kia Nurse, NEW YORK LIBERTY,GUARD,57000.0
115,Han Xu, NEW YORK LIBERTY,CENTER,57000.0
116,Sophie Cunningham, PHOENIX MERCURY,GUARD,57000.0
117,Monique Billings, ATLANTA DREAM,FORWARD,57000.0
118,Alanna Smith, PHOENIX MERCURY,FORWARD,57000.0
119,Brianna Turner, PHOENIX MERCURY,FORWARD,57000.0
120,Kalani Brown, ATLANTA DREAM,CENTER,57000.0
121,Maite Cazorla, ATLANTA DREAM,GUARD,57000.0
122,Mikayla Pivec, ATLANTA DREAM,GUARD,57000.0
123,Kobi Thornton, ATLANTA DREAM,FORWARD,57000.0
124,Marina Mabrey, DALLAS WINGS,GUARD,57000.0
125,Arike Ogunbowale, DALLAS WINGS,GUARD,57000.0
126,Katie Lou Samuelson, DALLAS WINGS,GUARD,57000.0
127,Kristine Anigwe, LOS ANGELES SPARKS,CENTER,57000.0
128,Marie Gülich, LOS ANGELES SPARKS,CENTER,57000.0
129,Maria Vadeeva, LOS ANGELES SPARKS,FORWARD,57000.0
130,Julie Allemande, INDIANA FEVER,POINT GUARD,57000.0
131,Kennedy Burke, INDIANA FEVER,GUARD,57000.0
132,Bernadett Határ, INDIANA FEVER,CENTER,57000.0
133,Stephanie Mavunga, INDIANA FEVER,FORWARD,57000.0
134,Teaira McCowan, INDIANA FEVER,CENTER,57000.0
135,Victoria Vivians, INDIANA FEVER,GUARD,57000.0
136,Lisa Berkani, MINNESOTA LYNX,POINT GUARD,57000.0
137,Maria Conde, CHICAGO SKY,FORWARD,57000.0
138,Jordin Canada, SEATTLE STORM,GUARD,57000.0
139,Ezi Magbegor, SEATTLE STORM,CENTER,57000.0
140,Lexie Brown, MINNESOTA LYNX,GUARD,57000.0
141,Mercedes Russell, SEATTLE STORM,CENTER,57000.0
142,Kiah Gillespie, CHICAGO SKY,FORWARD,57000.0
143,Lindsay Allen, LAS VEGAS ACES,GUARD,57000.0
144,Azurá Stevens, CHICAGO SKY,FORWARD,57000.0
145,Napheesa Collier, MINNESOTA LYNX,FORWARD,57000.0
146,Jessica Shepard, MINNESOTA LYNX,FORWARD,57000.0
147,JiSu Park, LAS VEGAS ACES,CENTER,57000.0
148,A'ja Wilson, LAS VEGAS ACES,CENTER,57000.0
149,Jackie Young, LAS VEGAS ACES,GUARD,57000.0
150,Ariel Atkins, WASHINGTON MYSTICS,GUARD,57000.0
151,Myisha Hines-Allen, WASHINGTON MYSTICS,FORWARD,57000.0
152,Kiara Leslie, WASHINGTON MYSTICS,GUARD,57000.0
153,Natisha Hiedeman, CONNECTICUT SUN,GUARD,57000.0
