,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
23,Ilsinho,PHI,M,28,7,1083,5,8,22,10,0/0,22.7,45.5
24,Victor Rodriguez,SEA,M,17,14,1124,2,3,26,10,1/1,7.7,38.5
0,Cristhian Paredes,POR,M,22,19,1651,4,2,37,10,0/0,10.8,27.0
1,Paxton Pomykal,DAL,M,25,20,1876,2,5,28,10,0/0,7.1,35.7
2,Juan Agudelo,MIA,F,28,21,1954,3,2,37,10,0/0,8.1,27.0
3,Cristian Roldan,SEA,M,29,29,2538,6,5,31,10,0/0,19.4,32.3
4,Latif Blessing,LAFC,F,34,29,2689,6,6,42,10,0/0,14.3,23.8
5,Jack Elliott,PHI,D,34,34,3060,2,0,25,10,0/0,8.0,40.0
6,Lassi Lappalainen,MTL,M,11,8,683,5,1,17,9,0/0,29.4,52.9
7,Luis Diaz,CLB,M,13,9,797,2,4,18,9,0/0,11.1,50.0
8,Erik Hurtado,SKC,F,13,8,815,2,0,20,9,0/0,10.0,45.0
9,Kevin Molino,MIN,M,17,11,910,3,4,29,9,0/0,10.3,31.0
10,Hector Villalba,ATL,F,20,10,938,1,4,36,9,0/0,2.8,25.0
11,Benji Michel,ORL,F,17,9,943,5,1,11,9,0/0,45.5,81.8
12,Juan Fernando Caicedo,NE,F,27,13,1068,5,3,26,9,0/0,19.2,34.6
13,Jonathan Lewis,COL,F,22,12,1113,5,4,17,9,0/0,29.4,52.9
14,Brandon Servania,DAL,M,18,13,1118,2,3,27,9,0/0,7.4,33.3
15,Darren Mattocks,CIN,F,21,13,1274,3,3,27,9,1/1,11.1,33.3
16,Shea Salinas,SJ,M,28,12,1337,6,3,21,9,0/0,28.6,42.9
17,Kekuta Manneh,CIN,F,27,15,1498,4,3,29,9,0/0,13.8,31.0
18,Brenden Aaronson,PHI,M,28,25,1722,3,2,34,9,0/0,8.8,26.5
19,Tommy Smith,COL,D,27,27,2415,3,2,23,9,0/0,13.0,39.1
20,Alejandro Bedoya,PHI,M,32,32,2834,4,4,27,9,0/0,14.8,33.3
21,Frederic Brillant,DC,D,34,33,2961,2,2,27,9,0/0,7.4,33.3
22,Romario Ibarra,MIN,M,8,4,381,2,1,12,8,0/0,16.7,66.7
23,Tom Barlow,RBNY,F,12,8,605,3,0,15,8,0/0,20.0,53.3
24,Brandon Vazquez,CIN,F,11,7,637,2,1,22,8,1/1,9.1,36.4
0,Jesus Medina,NYC,M,18,6,726,3,2,16,8,1/1,18.8,50.0
1,Diego Fagundez,NE,M,25,13,1176,2,3,22,8,0/1,9.1,36.4
2,Djordje Mihailovic,CHI,M,27,16,1448,3,2,24,8,0/0,12.5,33.3
3,Thomas McNamara,HOU,M,33,15,1530,2,3,18,8,0/0,11.1,44.4
4,Harrison Afful,CLB,D,22,22,1905,0,2,19,8,0/0,0.0,42.1
5,Marky Delgado,TOR,M,30,29,2554,2,7,41,8,0/0,4.9,19.5
6,Jackson Yueill,SJ,M,32,29,2668,3,5,36,8,0/0,8.3,22.2
7,Gary Mackay-Steven,NYC,F,12,5,525,1,1,17,7,0/0,5.9,41.2
8,Dairon Asprilla,POR,M-F,13,7,565,2,1,21,7,1/1,9.5,33.3
9,Sergio Santos,PHI,F,17,5,622,4,1,21,7,0/0,19.0,33.3
10,Theo Bair,VAN,F,17,10,824,2,2,12,7,0/0,16.7,58.3
11,Kelyn Rowe,NE,M,18,9,870,0,2,23,7,0/0,0.0,30.4
12,Joevin Jones,SEA,D-M,17,9,921,0,2,14,7,0/0,0.0,50.0
13,Cole Bassett,COL,M,20,14,1063,2,2,13,7,0/0,15.4,53.8
14,Federico Higuain,DC,F,14,13,1133,1,5,19,7,0/1,5.3,36.8
15,Lee Nguyen,MIA,M,23,11,1170,0,4,18,7,0/0,0.0,38.9
16,Hassani Dotson,MIN,M-D,24,15,1403,4,0,15,7,0/0,26.7,46.7
17,Ulises Segura,DC,M,33,19,1788,3,2,28,7,0/0,10.7,25.0
18,Larrys Mabiala,POR,D,22,22,1904,2,0,22,7,0/0,9.1,31.8
19,Jorge Moreira,POR,D,26,25,2233,2,4,29,7,0/0,6.9,24.1
