,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
2,Edwin Gyasi,DAL,M,4,1,82,0,0,2,1,0/0,0.0,50.0
3,Thomas Chacon,MIN,M,2,1,85,0,0,2,1,0/0,0.0,50.0
4,Marcus Epps,NY,M,3,1,109,0,0,2,1,0/0,0.0,50.0
5,Mathias Jorgensen,RBNY,F,5,1,117,0,0,4,1,0/0,0.0,25.0
6,Anthony Fontana,PHI,M,8,0,119,1,1,3,1,0/0,33.3,33.3
7,Josue Colman,ORL,M,8,1,154,0,1,4,1,0/0,0.0,25.0
8,Carlos Fierro,SJ,M,7,2,225,0,0,7,1,0/0,0.0,14.3
9,Eryk Williamson,POR,M,7,3,234,0,0,4,1,0/0,0.0,25.0
10,Thomas Roberts,DAL,M,6,3,237,0,0,3,1,0/0,0.0,33.3
11,Zoltan Stieber,DC,M-F,9,3,301,0,0,3,1,0/0,0.0,33.3
12,Ashtone Morgan,RSL,D,9,3,308,1,0,1,1,0/0,100.0,100.0
13,Sebastian Anderson,COL,D,6,5,317,1,0,2,1,0/0,50.0,50.0
14,JJ Williams,ATL,F,7,3,325,0,0,7,1,0/0,0.0,14.3
15,Jose Bizama,HOU,D,5,4,354,0,1,2,1,0/0,0.0,50.0
16,Forrest Lasso,CIN,D,5,4,393,0,0,2,1,0/0,0.0,50.0
17,Mauricio Pereyra,ORL,M,6,5,394,0,3,3,1,0/0,0.0,33.3
18,Marquinhos Pedroso,DAL,D,6,4,406,0,0,4,1,0/0,0.0,25.0
19,Axel Sjöberg,CLB,D,7,5,435,0,0,5,1,0/0,0.0,20.0
20,Diego Campos,CHI,D-M,10,5,439,0,0,3,1,0/0,0.0,33.3
21,Sean Nealis,RBNY,D,9,3,452,1,1,2,1,0/0,50.0,50.0
22,Clement Bayiha,MTL,M,11,4,469,0,1,2,1,0/0,0.0,50.0
23,Juan David Cabezas,HOU,M,15,5,532,1,0,3,1,0/0,33.3,33.3
24,Dillon Powers,ORL,M,7,7,620,0,1,4,1,0/0,0.0,25.0
0,Chris Durkin,DC,M,13,7,636,1,0,4,1,0/0,25.0,25.0
1,Cristian Higuita,ORL,M,9,7,648,0,2,6,1,0/0,0.0,16.7
2,Nicolas Hasler,CHI,D,12,8,708,0,1,3,1,0/0,0.0,33.3
3,Chad Marshall,SEA,D,8,8,720,0,0,7,1,0/0,0.0,14.3
4,Andres Flores,POR,M,15,9,778,0,1,10,1,0/0,0.0,10.0
5,Florentin Pogba,ATL,D,13,8,780,0,0,3,1,0/0,0.0,33.3
6,Carlos Gruezo,DAL,M,9,9,784,1,0,7,1,0/0,14.3,14.3
7,Renzo Zambrano,POR,M,10,9,785,0,1,7,1,0/0,0.0,14.3
8,Connor Maloney,CLB,D,10,9,798,0,0,4,1,0/0,0.0,25.0
9,Liam Fraser,TOR,M,9,9,810,0,1,7,1,0/0,0.0,14.3
10,PC,VAN,D,18,9,812,0,1,7,1,0/0,0.0,14.3
11,Connor Lade,NY,D,11,10,845,1,1,5,1,0/0,20.0,20.0
12,Rasmus Schuller,MIN,M,15,11,924,0,0,15,1,0/0,0.0,6.7
13,Andreu Fontas,SKC,D,13,10,964,0,0,3,1,0/0,0.0,33.3
14,Maikel van der Werff,CIN,D,11,11,990,0,0,4,1,0/0,0.0,25.0
15,Eriq Zavaleta,TOR,D,16,11,1015,0,0,5,1,0/0,0.0,20.0
16,Drew Moor,COL,D,13,11,1022,0,0,1,1,0/0,0.0,100.0
17,Kyle Duncan,RBNY,D,13,13,1080,1,2,6,1,0/0,16.7,16.7
18,Claude Dielna,POR,D,15,12,1086,0,0,13,1,0/0,0.0,7.7
19,Sebastien Ibeagha,NYC,D,23,11,1112,0,0,3,1,0/0,0.0,33.3
20,Xavier Arreaga,SEA,D,14,12,1119,0,0,6,1,0/0,0.0,16.7
21,Marcelo,CHI,D,16,12,1147,0,0,5,1,0/0,0.0,20.0
22,Victor Cabrera,HOU,D,16,13,1178,0,0,9,1,0/0,0.0,11.1
23,Michael Mancienne,NE,D,16,13,1189,1,0,4,1,0/0,25.0,25.0
24,Chase Gasper,MIN,D,15,14,1292,0,0,5,1,0/0,0.0,20.0
0,Harold Cummings,SJ,D,16,16,1392,0,0,1,1,0/0,0.0,100.0
1,Jeff Larentowicz,ATL,M,27,15,1465,0,1,11,1,0/0,0.0,9.1
2,Justin Hoyte,CIN,D,17,16,1477,0,0,3,1,0/0,0.0,33.3
3,James Sands,NYC,M,19,18,1488,0,0,2,1,0/0,0.0,50.0
4,Jorgen Skjelvik,LA,D,20,19,1681,1,2,6,1,0/0,16.7,16.7
5,Edgar Castillo,ATL,D,20,20,1693,0,5,16,1,0/0,0.0,6.3
6,Kemar Lawrence,NY,D,22,19,1729,1,0,5,1,0/0,20.0,20.0
7,Seth Sinovic,NE,D,22,21,1911,0,1,10,1,0/0,0.0,10.0
8,Jake Nerwinski,VAN,D,26,24,2023,1,0,6,1,0/0,16.7,16.7
9,Jukka Raitala,MTL,D,26,23,2083,0,0,5,1,0/0,0.0,20.0
10,Alexander Callens,NYC,D,24,24,2160,0,0,17,1,0/0,0.0,5.9
11,Samuel Piette,MTL,M,25,25,2220,0,0,12,1,0/0,0.0,8.3
12,Reggie Cannon,DAL,D,28,26,2268,1,1,10,1,0/0,10.0,10.0
13,Lamine Sane,ORL,D,26,25,2274,0,1,8,1,0/0,0.0,12.5
14,Johan Kappelhof,CHI,D,29,29,2562,0,2,6,1,0/0,0.0,16.7
15,Diego Chara,POR,M,30,29,2606,0,2,7,1,0/0,0.0,14.3
16,Kim Kee-hee,SEA,D,30,30,2622,0,1,14,1,0/0,0.0,7.1
17,Maxime Chanot,NYC,D,31,31,2790,0,0,12,1,0/0,0.0,8.3
18,Tony Beltran,RSL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
19,Eric Bird,HOU,M,0,0,0,0,0,0,0,0/0,0.0,0.0
20,Gabriel Somi,NE,D,0,0,0,0,0,0,0,0/0,0.0,0.0
21,Bismark Adjei-Boateng,COL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
22,RJ Allen,PHI,D,0,0,0,0,0,0,0,0/0,0.0,0.0
23,Jimmy McLaughlin,CIN,M,0,0,0,0,0,0,0,0/0,0.0,0.0
24,Adam Henley,RSL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
0,Moises Hernandez,DAL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
1,Jon Gallagher,ATL,F,0,0,0,0,0,0,0,0/0,0.0,0.0
2,Michael Baldisimo,VAN,M,0,0,0,0,0,0,0,0/0,0.0,0.0
3,Jacob Akanyirige,SJ,D,0,0,0,0,0,0,0,0/0,0.0,0.0
4,Sam Junqua,HOU,D,0,0,0,0,0,0,0,0/0,0.0,0.0
5,Julian Dunn,TOR,D,0,0,0,0,0,0,0,0/0,0.0,0.0
6,Noble Okello,TOR,M,0,0,0,0,0,0,0,0/0,0.0,0.0
7,Lagos Kunga,ATL,F,0,0,0,0,0,0,0,0/0,0.0,0.0
8,Wan Kuzain Wan Kamal,SKC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
9,Matt Hundley,COL,F,0,0,0,0,0,0,0,0/0,0.0,0.0
10,David Norman Jr.,MIA,M,0,0,0,0,0,0,0,0/0,0.0,0.0
11,Pablo Ruiz,RSL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
12,Isaac Angking,NE,M,0,0,0,0,0,0,0,0/0,0.0,0.0
13,Nicolas Firmino,NE,M,0,0,0,0,0,0,0,0/0,0.0,0.0
14,Cameron Duke,SKC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
15,Chris Goslin,ATL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
16,Jean-Christophe Koffi,NY,M,0,0,0,0,0,0,0,0/0,0.0,0.0
17,Sam Raben,COL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
18,Logan Gdula,CIN,D,0,0,0,0,0,0,0,0/0,0.0,0.0
19,Gordon Wild,LA,F,0,0,0,0,0,0,0,0/0,0.0,0.0
20,Luiz Fernando,ATL,M,0,0,0,0,0,0,0,0/0,0.0,0.0
21,Kortne Ford,COL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
22,Cristian Colman,DAL,F,0,0,0,0,0,0,0,0/0,0.0,0.0
23,Tomas Hilliard-Arce,LA,D,0,0,0,0,0,0,0,0/0,0.0,0.0
24,Zachary Herivaux,NE,M,0,0,0,0,0,0,0,0/0,0.0,0.0
0,Ben Mines,RBNY,M,0,0,0,0,0,0,0,0/0,0.0,0.0
1,Oniel Fisher,DC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
2,Jimmy Ockford,SJ,D,0,0,0,0,0,0,0,0/0,0.0,0.0
3,Alejandro Guido,LAFC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
4,Blake Smith,CIN,D,0,0,0,0,0,0,0,0/0,0.0,0.0
5,Bradford Jamieson IV,LA,F,0,0,0,0,0,0,0,0/0,0.0,0.0
6,Callum Montgomery,DAL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
7,Antonio Bustamante,DC,M,0,0,0,0,0,0,0,0/0,0.0,0.0
8,Cade Cowell,SJ,F,0,0,0,0,0,0,0,0/0,0.0,0.0
9,Edward Opoku,CLB,F,0,0,0,0,0,0,0,0/0,0.0,0.0
10,Tyler Freeman,SKC,F,0,0,0,0,0,0,0,0/0,0.0,0.0
11,Simon Colyn,VAN,M,0,0,0,0,0,0,0,0/0,0.0,0.0
12,Wyatt Omsberg,CHI,D,0,0,0,0,0,0,0,0/0,0.0,0.0
13,Andre Reynolds II,CHI,D,0,0,0,0,0,0,0,0/0,0.0,0.0
14,Julian Vazquez,RSL,F,0,0,0,0,0,0,0,0/0,0.0,0.0
15,Karifa Yao,MTL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
16,George Bello,ATL,D,0,0,0,0,0,0,0,0/0,0.0,0.0
17,Erik McCue,HOU,D,0,0,0,0,0,0,0,0/0,0.0,0.0
18,Joe Scally,NYC,D,0,0,0,0,0,0,0,0/0,0.0,0.0
19,Daniel Bedoya,NYC,M,1,0,1,0,0,0,0,0/0,0.0,0.0
20,Kevin Partida,SJ,M,1,0,1,0,0,0,0,0/0,0.0,0.0
21,Juan Pablo Torres,NYC,M,1,0,1,0,0,0,0,0/0,0.0,0.0
22,Kevin Kratz,ATL,M,1,0,1,0,0,0,0,0/0,0.0,0.0
23,Gilbert Fuentes,SJ,M,1,0,2,0,0,0,0,0/0,0.0,0.0
24,Griffin Dorsey,TOR,M,1,0,3,0,0,0,0,0/0,0.0,0.0
0,Ryan Telfer,TOR,F,1,0,3,0,1,0,0,0/0,0.0,0.0
1,Luis Arriaga,RSL,F,2,0,4,0,0,0,0,0/0,0.0,0.0
2,Justin Haak,NYC,M,3,0,6,0,0,0,0,0/0,0.0,0.0
3,Juninho,LA,M,2,0,8,0,0,0,0,0/0,0.0,0.0
4,Nazmi Albadawi,CIN,M,1,0,9,0,0,0,0,0/0,0.0,0.0
5,Georges Mukumbilwa,VAN,D-M,1,0,9,0,0,0,0,0/0,0.0,0.0
6,Michee Ngalina,PHI,F,1,0,9,0,0,0,0,0/0,0.0,0.0
7,Brian Wright,NE,F,2,0,10,0,0,0,0,0/0,0.0,0.0
8,Javi Perez,LFC,M,1,0,12,0,0,1,0,0/0,0.0,0.0
9,Luke Mulholland,RSL,M,1,0,19,0,0,0,0,0/0,0.0,0.0
10,Foster Langsdorf,POR,F,2,0,25,0,0,0,0,0/0,0.0,0.0
11,Rodney Wallace,SKC,D,1,1,27,0,0,0,0,0/0,0.0,0.0
12,Ema Twumasi,DAL,F,2,0,27,0,0,1,0,0/0,0.0,0.0
13,Shandon Hopeau,SEA,F,1,0,32,0,0,0,0,0/0,0.0,0.0
14,Luis Felipe,SJ,M,3,0,39,0,0,0,0,0/0,0.0,0.0
15,Siad Haji,SJ,M,4,0,41,0,0,0,0,0/0,0.0,0.0
16,Akeem Ward,DC,D,1,1,48,0,0,0,0,0/0,0.0,0.0
17,Derrick Jones,NSH,M,2,0,57,0,0,0,0,0/0,0.0,0.0
18,Griffin Yow,DC,F,2,1,59,0,0,0,0,0/0,0.0,0.0
19,Andrew Carleton,ATL,M,3,0,64,0,0,1,0,0/0,0.0,0.0
20,Douglas Martinez,RSL,F,1,1,64,0,0,1,0,0/0,0.0,0.0
21,Brendan McDonough,VAN,D,1,1,66,0,0,0,0,0/0,0.0,0.0
22,Matthew Real,PHI,D,3,1,67,0,1,1,0,0/0,0.0,0.0
23,Daniel Kinumbe,MTL,D,1,1,67,0,0,0,0,0/0,0.0,0.0
24,Amar Sejdic,MTL,M,1,1,68,0,0,0,0,0/0,0.0,0.0
0,Eric Calvillo,SJ,M,2,1,73,0,0,0,0,0/0,0.0,0.0
1,Johan Blomberg,COL,M,3,1,88,0,0,2,0,0/0,0.0,0.0
2,Fabinho,PHI,D,1,1,90,0,0,2,0,0/0,0.0,0.0
3,Chris Duvall,POR,D,1,1,90,0,0,0,0,0/0,0.0,0.0
4,Francois Affolter,SJ,D,1,1,90,0,0,0,0,0/0,0.0,0.0
5,Modou Jadama,POR,D,1,1,90,0,0,0,0,0/0,0.0,0.0
6,Jaylin Lindsey,SKC,D,1,1,90,0,0,0,0,0/0,0.0,0.0
7,Shaft Brewer Jr.,LFC,M-D,1,1,90,0,0,1,0,0/0,0.0,0.0
8,Carter Manley,MIN,D,1,1,90,0,0,0,0,0/0,0.0,0.0
9,Jasser Khmiri,VAN,D,1,1,90,0,0,1,0,0/0,0.0,0.0
10,Diego Palacios,LAFC,D,2,1,92,0,0,0,0,0/0,0.0,0.0
11,Tate Schmitt,RSL,M,6,1,92,0,0,0,0,0/0,0.0,0.0
12,Felipe Hernandez,SKC,M,2,1,95,0,0,1,0,0/0,0.0,0.0
13,Niko Hamalainen,LFC,D,3,1,95,0,1,0,0,0/0,0.0,0.0
14,Justin Rennicks,NE,F,2,1,106,0,0,3,0,0/0,0.0,0.0
15,Bryan Reynolds,DAL,D,10,1,112,0,1,1,0,0/0,0.0,0.0
16,Lucas Melano,POR,F,8,1,121,0,0,2,0,0/0,0.0,0.0
17,Florian Valot,RBNY,M,2,2,125,0,1,1,0,0/0,0.0,0.0
18,Ballou Jean-Yves Tabla,MTL,F,4,1,127,0,0,2,0,0/0,0.0,0.0
19,Chris Odoi-Atsem,DC,D,3,1,134,0,0,0,0,0/0,0.0,0.0
20,Michael Salazar,HOU,F,7,1,153,0,0,1,0,0/0,0.0,0.0
21,Emanuel Cecchini,SEA,M,4,1,155,0,0,2,0,0/0,0.0,0.0
22,Ronaldo Peña,HOU,F,4,2,157,0,0,2,0,0/0,0.0,0.0
23,Abdul Rwatubyaye,COL,D,2,1,164,0,0,2,0,0/0,0.0,0.0
24,Dejan Jakovic,LAFC,D,3,2,181,0,0,0,0,0/0,0.0,0.0
0,Collin Martin,MIN,M,3,2,184,0,1,1,0,0/0,0.0,0.0
1,Andre Horta,LFC,M,4,2,184,0,0,4,0,0/0,0.0,0.0
2,Corben Bone,CIN,M,6,2,186,0,0,0,0,0/0,0.0,0.0
3,Emil Cuello,LA,M,9,2,189,0,1,2,0,0/0,0.0,0.0
4,Marco Farfan,POR,D,3,3,190,0,0,0,0,0/0,0.0,0.0
5,Justin Portillo,RSL,M,4,2,194,0,0,1,0,0/0,0.0,0.0
6,Olivier Mbaizo,PHI,D,3,2,195,0,1,1,0,0/0,0.0,0.0
7,Henry Wingo,SEA,M,6,2,200,0,0,3,0,0/0,0.0,0.0
8,Grant Lillard,MIA,D,4,2,206,0,0,1,0,0/0,0.0,0.0
9,Diedie Traore,LA,D,4,3,220,0,0,0,0,0/0,0.0,0.0
10,Danilo Silva,LAFC,D,5,2,222,0,0,2,0,0/0,0.0,0.0
11,Erickson Gallardo,TOR,F-M,5,4,244,0,1,3,0,0/0,0.0,0.0
12,Tommy McCabe,CIN,M,6,2,244,0,0,1,0,0/0,0.0,0.0
13,Mikey Ambrose,MIA,D,4,3,266,0,0,0,0,0/0,0.0,0.0
14,Rod Fanni,MTL,D,3,3,270,0,0,0,0,0/0,0.0,0.0
15,Kofi Opare,COL,D,3,3,270,0,0,2,0,0/0,0.0,0.0
16,Niko Hansen,HOU,F,13,2,279,0,0,1,0,0/0,0.0,0.0
17,Eric Alexander,CIN,M,6,4,312,0,1,0,0,0/0,0.0,0.0
18,Chris McCann,DC,M-D,6,4,319,0,0,2,0,0/0,0.0,0.0
19,Brett Levis,VAN,D,9,3,330,0,0,1,0,0/0,0.0,0.0
20,Wilfried Moimbe,MIN,D,4,4,336,0,0,2,0,0/0,0.0,0.0
21,Jonathan Campbell,SEA,D,4,4,360,0,0,0,0,0/0,0.0,0.0
22,Ricardo Clark,CLB,M,7,4,361,0,0,6,0,0/0,0.0,0.0
23,Warren Creavalle,PHI,M,13,5,367,0,1,1,0,0/0,0.0,0.0
24,Erik Holt,RSL,D,5,5,371,0,1,0,0,0/0,0.0,0.0
0,Servando Carrasco,LA,M,16,3,388,0,0,0,0,0/0,0.0,0.0
1,Alex De John,ORL,D,6,6,406,0,0,1,0,0/0,0.0,0.0
2,Jalen Robinson,DC,D,10,5,413,0,0,1,0,0/0,0.0,0.0
3,Danny Leyva,SEA,M,6,4,413,0,0,4,0,0/0,0.0,0.0
4,Alex Roldan,SEA,M,9,5,442,0,1,4,0,0/0,0.0,0.0
5,John Nelson,DAL,D,9,4,451,0,0,2,0,0/0,0.0,0.0
6,Andrew Gutman,CIN,D,8,5,482,0,1,3,0,0/0,0.0,0.0
7,Jeremiah Gutjahr,CHI,M,8,5,502,0,1,1,0,0/0,0.0,0.0
8,Ken Krolicki,MTL,M,10,5,523,0,0,2,0,0/0,0.0,0.0
9,Aurelien Collin,PHI,D,6,6,530,0,0,5,0,0/0,0.0,0.0
10,Mark McKenzie,PHI,D,7,6,537,0,0,1,0,0/0,0.0,0.0
11,Rece Buckmaster,NY,D,6,6,540,0,0,2,0,0/0,0.0,0.0
12,Lawrence Olum,MIN,D,10,5,543,0,1,2,0,0/0,0.0,0.0
13,Perry Kitchen,LA,M,8,6,573,0,2,0,0,0/0,0.0,0.0
14,Danilo Acosta,LA,D,8,8,670,0,1,1,0,0/0,0.0,0.0
15,Mathieu Choiniere,MTL,M,17,6,681,0,1,7,0,0/0,0.0,0.0
16,Alejandro Fuenmayor,HOU,D,8,8,699,0,1,3,0,0/0,0.0,0.0
17,Eric Miller,NSH,D,11,9,764,0,0,3,0,0/0,0.0,0.0
18,Donovan Pines,DC,D,10,9,785,0,1,2,0,0/0,0.0,0.0
19,Aboubacar Keita,CLB,D,10,8,801,0,0,2,0,0/0,0.0,0.0
20,Kevin Garcia,HOU,D,12,8,812,0,0,1,0,0/0,0.0,0.0
21,Shane O'Neill,SEA,D,11,8,838,0,0,3,0,0/0,0.0,0.0
22,Tony Rocha,NYC,M,17,9,871,0,1,2,0,0/0,0.0,0.0
23,Alex Crognale,CLB,D,12,9,881,0,1,4,0,0/0,0.0,0.0
24,Greg Garza,CIN,D,13,11,908,0,0,0,0,0/0,0.0,0.0
0,Jonathan Bornstein,CHI,D,11,11,914,0,0,2,0,0/0,0.0,0.0
1,Deklan Wynne,COL,D,11,11,917,0,0,0,0,0/0,0.0,0.0
2,Edwin Cerrillo,DAL,M,12,11,918,0,1,4,0,0/0,0.0,0.0
3,DaMarcus Beasley,HOU,D,12,12,1032,0,2,3,0,0/0,0.0,0.0
4,Saad Abdul-Salaam,CIN,D,18,11,1062,0,1,1,0,0/0,0.0,0.0
5,Jorge Corrales,MTL,D,19,14,1135,0,1,2,0,0/0,0.0,0.0
6,Brent Kallman,MIN,D,16,14,1281,0,1,1,0,0/0,0.0,0.0
7,Kamal Miller,ORL,D,16,14,1350,0,0,1,0,0/0,0.0,0.0
8,Waylon Francis,CLB,D,17,16,1382,0,0,3,0,0/0,0.0,0.0
9,Jordy Delem,SEA,M,23,17,1439,0,1,7,0,0/0,0.0,0.0
10,Joseph Mora,DC,D,20,18,1595,0,1,7,0,0/0,0.0,0.0
11,Zarek Valentin,HOU,D,21,17,1623,0,0,3,0,0/0,0.0,0.0
12,Jon Erice,VAN,M,21,21,1752,0,2,2,0,0/0,0.0,0.0
13,Sebastian Mendez,ORL,M,23,20,1814,0,0,10,0,0/0,0.0,0.0
14,Jorge Villafaña,POR,F,23,22,1947,0,5,8,0,0/0,0.0,0.0
15,Matt Besler,SKC,D,27,25,2115,0,0,2,0,0/0,0.0,0.0
16,Russell Canouse,DC,M,26,25,2149,0,0,10,0,0/0,0.0,0.0
17,Sam Vines,COL,D,26,23,2149,0,0,5,0,0/0,0.0,0.0
18,Wil Trapp,MIA,M,28,26,2329,0,4,4,0,0/0,0.0,0.0
19,Adam Lundkvist,HOU,D,28,26,2387,0,4,6,0,0/0,0.0,0.0
20,Robin Jansson,ORL,D,28,28,2421,0,0,10,0,0/0,0.0,0.0
21,Andrew Farrell,NE,D,29,29,2603,0,1,1,0,0/0,0.0,0.0
22,Matias Vera,HOU,M,30,30,2639,0,1,22,0,0/0,0.0,0.0
23,Kai Wagner,PHI,D,30,30,2691,0,8,6,0,0/0,0.0,0.0
24,Raymon Gaddis,PHI,D,34,34,2963,0,1,3,0,0/0,0.0,0.0
