Rank,Player,Team,GP,G,A,TP,PPG,PIM,Plus_Minus
73,Kim Tiberi (D) ,Connecticut Whale  ,11,0,1,1,0.09,4,-9
74,Jordan Brickner (D) ,Connecticut Whale  ,13,0,1,1,0.08,2,-3
75,Erika Lawler (RW) ,Metropolitan Riveters  ,14,0,1,1,0.07,4,-13
76,Winny Brodt-Brown (D/C) ,Minnesota Whitecaps  ,14,0,1,1,0.07,6,-1
77,Kiira Dosdall-Arena (D) ,Metropolitan Riveters  ,16,0,1,1,0.06,6,-9
78,Meghan Fonfara (F) ,Buffalo Beauts  ,1,0,0,0,0,0,0
79,Randi Griffin (F) ,Connecticut Whale  ,1,0,0,0,0,0,0
80,Erin Brand (D/F) ,Connecticut Whale  ,1,0,0,0,0,0,-2
81,Dru Burns (D) ,Boston Pride  ,1,0,0,0,0,0,0
82,Taylor Wasylk (F) ,Boston Pride  ,1,0,0,0,0,0,0
83,Jessica Koizumi (F) ,Connecticut Whale  ,1,0,0,0,0,0,0
84,Tess Adams (F) ,Connecticut Whale  ,1,0,0,0,0,2,0
85,Jordan Juron (F) ,Buffalo Beauts  ,2,0,0,0,0,0,-1
86,Sadie Lundquist (F) ,Minnesota Whitecaps  ,2,0,0,0,0,0,-2
87,Adelle Murphy (F) ,Boston Pride  ,2,0,0,0,0,0,0
88,Vanessa Gagnon (F) ,Connecticut Whale  ,3,0,0,0,0,0,-2
89,Margo Lund (F) ,Minnesota Whitecaps  ,3,0,0,0,0,0,0
90,Kaliya Johnson (D) ,Boston Pride  ,3,0,0,0,0,0,-1
91,Melissa Sheeran (F) ,Connecticut Whale  ,3,0,0,0,0,2,-1
92,Cydney Roesler (D) ,Connecticut Whale  ,3,0,0,0,0,6,-3
93,Sarah Schwenzfeier (F) ,Connecticut Whale  ,5,0,0,0,0,0,-2
94,Sam Donovan (F) ,Connecticut Whale  ,5,0,0,0,0,0,-8
95,Tanja Eisenschmid (D) ,Minnesota Whitecaps  ,5,0,0,0,0,0,6
96,Kelly Nash (F) ,Metropolitan Riveters  ,6,0,0,0,0,2,0
97,Haylea Schmid (F) ,Minnesota Whitecaps  ,6,0,0,0,0,2,-1
98,Kaycie Anderson (F) ,Connecticut Whale  ,7,0,0,0,0,0,-5
99,Lexi Slattery (D) ,Metropolitan Riveters  ,7,0,0,0,0,2,-4
100,Fiona McKenna (F) ,Metropolitan Riveters  ,8,0,0,0,0,2,-2
101,Jacquie Greco (D) ,Buffalo Beauts  ,9,0,0,0,0,0,3
102,Sarah Hughson (F) ,Connecticut Whale  ,12,0,0,0,0,4,-10
103,Taylor Marchin (D) ,Connecticut Whale  ,13,0,0,0,0,6,-10
104,Kelsey Koelzer (D) ,Metropolitan Riveters  ,14,0,0,0,0,12,-9
105,Elena Orlando (D) ,Connecticut Whale  ,16,0,0,0,0,4,-8
106,Hanna Beattie (D/F) ,Connecticut Whale  ,16,0,0,0,0,6,-11
