Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Team Bag-Bo,6,,Team Bag-Bo,,,Team Bag-Bo,5
Team Matigale,5,,Team Matigale,,,Team Matigale,5
Team Jax,5,,Team Jax,,,Team Jax,7
Mack Wickell,6,,Mack Wickell,3,,Mack Wickell,3
Josh Allen is Elite,7,,Josh Allen is Elite,,,Josh Allen is Elite,4
Skinny Legends,7,,Skinny Legends,,,Skinny Legends,5
Fellowship of the Beer,5,,Fellowship of the Beer,,,Fellowship of the Beer,1
Team MBF,6,,Team MBF,,,Team MBF,3
