Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-1,10/18/2020 18:40:52,Mack Wickell,7,Romansch,x,7
1-1,10/18/2020 18:41:19,Josh Allen is Elite,7,Romansh,x,7
1-1,10/18/2020 18:41:21,Fellowship of the Beer,3,Romansch (spelling),x,3
1-1,10/18/2020 18:41:40,Team Jax,5,Romanch,x,5
1-1,10/18/2020 18:41:52,Team Bag-Bo,7,Romansh,x,7
1-1,10/18/2020 18:41:56,Team MBF,3,English,-,0
1-1,10/18/2020 18:42:03,Team Matigale,1,Slovak,-,0
1-1,10/18/2020 18:42:22,Skinny Legends,1,english,-,0
1-2,10/18/2020 18:43:40,Mack Wickell,5,Painters,x,5
1-2,10/18/2020 18:43:44,Josh Allen is Elite,5,Italian Renaissance Artists,x,5
1-2,10/18/2020 18:43:44,Skinny Legends,3,painters,x,3
1-2,10/18/2020 18:44:05,Fellowship of the Beer,7,Michelangelo Donatello Leonardo Raphael - artists ,x,7
1-2,10/18/2020 18:44:14,Team Matigale,7,"painting (Michelangelo, Donatello, Leonardo da Vinci, Rafael)",x,7
1-2,10/18/2020 18:44:36,Team MBF,1,Baseball players?,-,0
1-2,10/18/2020 18:45:00,Team Jax,7,Sculptor,x,7
1-2,10/18/2020 18:45:45,Team Bag-Bo,5,"Artists; Michelangelo, Leonardo, Donatello, Raphael",x,5
1-3,10/18/2020 18:46:37,Mack Wickell,3,Elvis Presley,x,3
1-3,10/18/2020 18:46:38,Team Jax,3,Elvis Presley,x,3
1-3,10/18/2020 18:46:41,Team MBF,7,Elvis ,x,7
1-3,10/18/2020 18:46:48,Fellowship of the Beer,5,Sir Micholas of House Jagger (Mick Jagger),-,0
1-3,10/18/2020 18:47:04,Josh Allen is Elite,3,Michael JAckson,-,0
1-3,10/18/2020 18:47:04,Team Bag-Bo,3,Elvis Presley ,x,3
1-3,10/18/2020 18:47:08,Skinny Legends,7,Elvis Presley,x,7
1-3,10/18/2020 18:47:10,Team Matigale,5,Elvis Presley,x,5
1-4,10/18/2020 18:48:43,Mack Wickell,1,Pawn,x,1
1-4,10/18/2020 18:48:46,Team Jax,1,Pawn,x,1
1-4,10/18/2020 18:48:50,Team Bag-Bo,1,pawn,x,1
1-4,10/18/2020 18:48:50,Skinny Legends,5,knight,-,0
1-4,10/18/2020 18:48:53,Team MBF,5,Queen ,-,0
1-4,10/18/2020 18:49:04,Josh Allen is Elite,1,Rook,-,0
1-4,10/18/2020 18:49:26,Fellowship of the Beer,1,Queen ,-,0
1-4,10/18/2020 18:49:50,Team Matigale,3,knight,-,0
2-1,10/18/2020 19:07:39,Team MBF,3,ethanol,x,3
2-1,10/18/2020 19:07:39,Fellowship of the Beer,1,Ethanol,x,1
2-1,10/18/2020 19:07:52,Mack Wickell,7,Ethanol? Lowers the freezing point so that it won't freeze at standard temperatures,x,7
2-1,10/18/2020 19:08:04,Team Jax,5,Ethanol,x,5
2-1,10/18/2020 19:08:06,Josh Allen is Elite,1,formaldehyde haha ,-,0
2-1,10/18/2020 19:08:09,Team Bag-Bo,5,ethanol,x,5
2-1,10/18/2020 19:08:38,Skinny Legends,1,cooh,-,0
2-1,10/18/2020 19:08:38,Team Matigale,1,ethanol has a lower freezing point ,x,1
2-2,10/18/2020 19:10:04,Skinny Legends,7,new coke,x,7
2-2,10/18/2020 19:10:13,Mack Wickell,1,New Coke,x,1
2-2,10/18/2020 19:10:46,Team MBF,5,New Coke,x,5
2-2,10/18/2020 19:10:47,Josh Allen is Elite,3,"It's the ""New"" coke, when they advertised the recipe was changed, I think",x,3
2-2,10/18/2020 19:10:48,Fellowship of the Beer,3,Coke Zero,,0
2-2,10/18/2020 19:11:26,Team Jax,1,new coke,x,1
2-2,10/18/2020 19:11:49,Team Bag-Bo,1,no cocaine coke ,,0
2-2,10/18/2020 19:12:03,Team Matigale,3,coke classic,,0
2-3,10/18/2020 19:13:11,Fellowship of the Beer,7,Norway ,x,7
2-3,10/18/2020 19:13:33,Mack Wickell,3,Canada,,0
2-3,10/18/2020 19:13:57,Team Matigale,7,Norway,x,7
2-3,10/18/2020 19:14:23,Josh Allen is Elite,5,Norway,x,5
2-3,10/18/2020 19:14:24,Team Bag-Bo,3,Canada ,,0
2-3,10/18/2020 19:14:26,Skinny Legends,3,Norway,x,3
2-3,10/18/2020 19:15:24,Team Jax,3,Germany,,0
2-3,10/18/2020 19:15:49,Team MBF,1,Canada,,0
2-4,10/18/2020 19:16:56,Mack Wickell,5,John Adams/John Quincy Adams,x,5
2-4,10/18/2020 19:16:57,Team Jax,7,Roosevelt,x,7
2-4,10/18/2020 19:17:11,Josh Allen is Elite,7,FDR and Teddy (Roosevelt),x,7
2-4,10/18/2020 19:17:38,Team Matigale,5,"John Adams, John Quincy Adams",x,5
2-4,10/18/2020 19:17:52,Team MBF,7,John Adams and John Quincy Adams,x,7
2-4,10/18/2020 19:18:19,Skinny Legends,5,the johnsons,,0
2-4,10/18/2020 19:19:02,Fellowship of the Beer,5,"John Adams, John Quincy Adams; Teddy and Franky Roosevelt; that's all i got ",x,5
2-4,10/18/2020 19:19:39,Team Bag-Bo,7,John Adams and John Quincy adams,x,7
3-1,10/18/2020 19:26:36,Josh Allen is Elite,8,The Simpsons,x,8
3-1,10/18/2020 19:26:37,Fellowship of the Beer,4,The Simpsons ,x,4
3-1,10/18/2020 19:26:42,Team Bag-Bo,8,The Simpsons,x,8
3-1,10/18/2020 19:26:44,Skinny Legends,8,simpsons,x,8
3-1,10/18/2020 19:26:55,Team Jax,8,The Simpsons,x,8
3-1,10/18/2020 19:27:22,Mack Wickell,4,The Simpsons,x,4
3-1,10/18/2020 19:27:51,Team MBF,4,Jeopardy,x,4
3-1,10/18/2020 19:27:55,Team Matigale,2,Jeopardy,x,2
3-2,10/18/2020 19:29:08,Mack Wickell,2,Skunk,x,2
3-2,10/18/2020 19:29:15,Team MBF,2,skunk,x,2
3-2,10/18/2020 19:29:22,Josh Allen is Elite,6,Skunked,x,6
3-2,10/18/2020 19:29:22,Fellowship of the Beer,2,"""Crib"" (or some shit i don't know man fuck cribbage)",,0
3-2,10/18/2020 19:29:33,Skinny Legends,2,crib,,0
3-2,10/18/2020 19:29:37,Team Bag-Bo,2,Cribagged them,,0
3-2,10/18/2020 19:29:52,Team Matigale,4,cage,,0
3-2,10/18/2020 19:29:56,Team Jax,2,ace,,0
3-3,10/18/2020 19:31:02,Josh Allen is Elite,4,Baseball and Horse Racing,x,4
3-3,10/18/2020 19:31:15,Fellowship of the Beer,8,"Horse Racing, Baseball ",x,8
3-3,10/18/2020 19:31:24,Mack Wickell,6,Horse Racing & Golf,x,6
3-3,10/18/2020 19:31:27,Skinny Legends,6,"horse racing, motorsports",x,6
3-3,10/18/2020 19:31:38,Team Matigale,6,"horse racing, car racing ",x,6
3-3,10/18/2020 19:32:18,Team Jax,3,Horce Racing and F1,x,3
3-3,10/18/2020 19:32:21,Team MBF,6,Horse Racing and Polo,x,6
3-3,10/18/2020 19:32:44,Team Bag-Bo,3,"Horse racing, MMA",x,3
3-4,10/18/2020 19:37:53,Mack Wickell,8,Vermont,x,8
3-4,10/18/2020 19:38:13,Team Jax,4,maine,,0
3-4,10/18/2020 19:38:39,Skinny Legends,4,Maine,,0
3-4,10/18/2020 19:38:40,Team Bag-Bo,4,Ohio,,0
3-4,10/18/2020 19:39:19,Fellowship of the Beer,6,Maine,,0
3-4,10/18/2020 19:39:52,Team Matigale,8,Vermont,x,8
3-4,10/18/2020 19:40:08,Josh Allen is Elite,2,"already spoke with andrew about this, can't get the question right",,0
3-4,10/18/2020 19:40:28,Team MBF,8,Maine,,0
4-1,10/18/2020 19:52:26,Mack Wickell,8,"Despacito - Daddy Yankee, Luis Fonsi",x,8
4-1,10/18/2020 19:52:32,Team Bag-Bo,8,Despacito - Luis Fonsi,x,8
4-1,10/18/2020 19:52:33,Team MBF,8,Luis Fonsi - Despacito ,x,8
4-1,10/18/2020 19:52:38,Team Jax,8,Louis Fonsi - Despacito,x,8
4-1,10/18/2020 19:52:42,Fellowship of the Beer,2,Despacito by Enrique,x,2
4-1,10/18/2020 19:52:49,Josh Allen is Elite,8,"Fonsi, Despacito",x,8
4-1,10/18/2020 19:53:26,Team Matigale,2,"Despacito, Daddy Yankee",x,2
4-1,10/18/2020 19:53:52,Skinny Legends,4,"despacito, luis fonzi",x,4
4-2,10/18/2020 19:55:02,Fellowship of the Beer,4,Star Trek ,x,4
4-2,10/18/2020 19:55:07,Team MBF,6,Star Trek ,x,6
4-2,10/18/2020 19:55:19,Josh Allen is Elite,2,Star Trek,x,2
4-2,10/18/2020 19:55:22,Skinny Legends,8,star trek,x,8
4-2,10/18/2020 19:55:23,Mack Wickell,4,Star Trek,x,4
4-2,10/18/2020 19:55:27,Team Jax,6,Star Trek,x,6
4-2,10/18/2020 19:55:40,Team Bag-Bo,6,Star Trek,x,6
4-2,10/18/2020 19:55:46,Team Matigale,2,Star Trek,x,2
4-3,10/18/2020 19:56:42,Mack Wickell,6,Minecraft,x,6
4-3,10/18/2020 19:57:22,Fellowship of the Beer,6,DOTA 2,,0
4-3,10/18/2020 19:57:07,Team MBF,4,Fortnite ,,0
4-3,10/18/2020 19:57:19,Josh Allen is Elite,6,Minecraft,x,6
4-3,10/18/2020 19:57:20,Team Jax,4,Minecraft,x,4
4-3,10/18/2020 19:57:36,Team Bag-Bo,4,Minecraft,x,4
4-3,10/18/2020 19:57:39,Team Matigale,6,Call of Duty,,0
4-3,10/18/2020 19:57:52,Skinny Legends,6,fortnite,,0
4-4,10/18/2020 19:59:17,Mack Wickell,2,Tree,x,2
4-4,10/18/2020 19:59:31,Josh Allen is Elite,4,Fruit,,0
4-4,10/18/2020 19:59:41,Fellowship of the Beer,8,Tree,x,8
4-4,10/18/2020 19:59:43,Team MBF,2,tree,x,2
4-4,10/18/2020 19:59:53,Skinny Legends,2,tree,x,2
4-4,10/18/2020 19:59:54,Team Jax,2,Fruit,,0
4-4,10/18/2020 20:00:16,Team Matigale,8,tree,x,8
4-4,10/18/2020 20:00:21,Team Bag-Bo,2,Tree,x,2
