Question,Time,Team,Wager,Answer,Correct,Points_Earned
4-2,9/20/2020 19:47:06,Blazin Asian,6,Dark and Stormy,x,6
4-2,9/20/2020 19:47:07,Skinny Legends,8,moscow mule,,0
4-2,9/20/2020 19:47:28,Team Bag-Bo,8,Dark N Stormy,x,8
4-2,9/20/2020 19:48:08,Team MBF,2,Havana ,,0
4-2,9/20/2020 19:48:24,Team Matigale,4,Moscow Mule,,0
4-2,9/20/2020 19:48:29,Team Jax,4,Moscow Mule,,0
4-3,9/20/2020 19:52:06,Team Jax,8,Tasmania,x,8
4-3,9/20/2020 19:52:36,Mack Wickell,2,Tasmania,x,2
4-3,9/20/2020 19:52:56,Blazin Asian,4,Queens,,0
4-3,9/20/2020 19:53:11,Skinny Legends,2,tasmania,x,2
4-3,9/20/2020 19:53:16,Fellowship of the Beer,6,Tasmania,x,6
4-3,9/20/2020 19:53:18,Team Bag-Bo,4,Tasmania,x,4
4-3,9/20/2020 19:53:18,Team MBF,6,Tasmania ,x,6
4-3,9/20/2020 19:53:28,Team Matigale,8,Tazmania,x,8
4-4,9/20/2020 19:56:16,Mack Wickell,6,They're black,,0
4-4,9/20/2020 19:56:20,Skinny Legends,4,red hair,,0
4-4,9/20/2020 19:56:22,Blazin Asian,2,they have glasses,x,2
4-4,9/20/2020 19:56:37,Team Bag-Bo,8,Hair color,,0
4-4,9/20/2020 19:56:48,Team Matigale,2,They have glasses,x,2
4-4,9/20/2020 19:56:50,Team MBF,8,Glasses ,x,8
4-4,9/20/2020 19:56:51,Team Jax,6,Dark Skin,,0
4-4,9/20/2020 19:57:06,Fellowship of the Beer,2,Glasses,x,2
