Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-1,9/20/2020 18:42:25,Team Jax,7,La Liga Santander,x,7
1-1,9/20/2020 18:42:29,Mack Wickell,5,La Liga,x,5
1-1,9/20/2020 18:42:34,Blazin Asian,7,La Liga,x,7
1-1,9/20/2020 18:42:55,Team Matigale,7,La Liga,x,7
1-1,9/20/2020 18:43:19,Team Bag-Bo,1,serie a,,0
1-1,9/20/2020 18:43:23,Team MBF,1,Spanish Soccer League (that i should remember after living there for a year),,0
1-1,9/20/2020 18:43:43,Skinny Legends,2,champions league,,0
1-1,9/20/2020 18:44:16,Fellowship of the Beer,1,Futbol Espana,,0
1-2,9/20/2020 18:44:52,Team Jax,5,Orion's Belt,x,5
1-2,9/20/2020 18:44:55,Mack Wickell,7,Orion's Belt,x,7
1-2,9/20/2020 18:44:55,Team Bag-Bo,7,Orion's Belt,x,7
1-2,9/20/2020 18:44:57,Fellowship of the Beer,7,Orions Belt,x,7
1-2,9/20/2020 18:45:03,Skinny Legends,7,orions belt,x,7
1-2,9/20/2020 18:45:40,Team MBF,3,zeus,,0
1-2,9/20/2020 18:45:48,Blazin Asian,5,Belt (Orion's),x,5
1-2,9/20/2020 18:46:11,Team Matigale,0.5,Orion,x,0.5
1-3,9/20/2020 18:46:51,Mack Wickell,3,George R.R. Martin,x,3
1-3,9/20/2020 18:47:01,Blazin Asian,1,no clue,,0
1-3,9/20/2020 18:47:14,Skinny Legends,5,george RR Martin,x,5
1-3,9/20/2020 18:47:18,Fellowship of the Beer,5,George RR Martin,x,5
1-3,9/20/2020 18:47:28,Team Matigale,3,George R.R. Martin,x,3
1-3,9/20/2020 18:47:34,Team Bag-Bo,3,JRR Tolkein,,0
1-3,9/20/2020 18:47:45,Team MBF,5,C.S. Lewis??,,0
1-3,9/20/2020 18:47:49,Team Jax,3,George R R Martin,x,3
1-4,9/20/2020 18:48:27,Mack Wickell,1,WAP,x,1
1-4,9/20/2020 18:48:57,Team Bag-Bo,5,WAP ,x,5
1-4,9/20/2020 18:48:59,Team MBF,7,Rain on Me ,,0
1-4,9/20/2020 18:48:59,Fellowship of the Beer,3,WAP by Cardi B and Meghan the Stallion ,x,3
1-4,9/20/2020 18:49:02,Skinny Legends,3,WAP,x,3
1-4,9/20/2020 18:49:37,Team Matigale,5,WAP,x,5
1-4,9/20/2020 18:49:40,Blazin Asian,3,WAP,x,3
1-4,9/20/2020 18:49:53,Team Jax,1,popstar,,0
2-1,9/20/2020 19:04:09,Mack Wickell,1,Blackhawk Down,,0
2-1,9/20/2020 19:04:23,Blazin Asian,3,Blackhawk Down,,0
2-1,9/20/2020 19:04:43,Team Bag-Bo,1,no clue,,0
2-1,9/20/2020 19:04:44,Team Jax,1,Jarhead,x,1
2-1,9/20/2020 19:04:48,Skinny Legends,1,Prisoners,,0
2-1,9/20/2020 19:04:57,Team Matigale,1,Saving Private Ryan,,0
2-1,9/20/2020 19:05:08,Team MBF,1,Sandstorm ?,,0
2-1,9/20/2020 19:05:13,Fellowship of the Beer,1,Jakey G AND Jamie Foxx????,,0
2-2,9/20/2020 19:05:44,Fellowship of the Beer,7,Tom Selick ,x,7
2-2,9/20/2020 19:05:56,Team MBF,7,Tom Selleck ,x,7
2-2,9/20/2020 19:06:00,Skinny Legends,3,yikes,,0
2-2,9/20/2020 19:06:01,Mack Wickell,3,Jake Gyllenhall,,0
2-2,9/20/2020 19:06:07,Blazin Asian,1,not sure,,0
2-2,9/20/2020 19:06:43,Team Jax,3,Reynolds,,0
2-2,9/20/2020 19:06:48,Team Matigale,3,White man w a beard! ,,0
2-2,9/20/2020 19:06:50,Team Bag-Bo,3,jake gillenhal,,0
2-3,9/20/2020 19:07:39,Team MBF,5,Celery,,0
2-3,9/20/2020 19:08:06,Mack Wickell,5,Paprika,,0
2-3,9/20/2020 19:08:13,Team Jax,5,Celery,,0
2-3,9/20/2020 19:08:31,Skinny Legends,5,cayenne pepper,,0
2-3,9/20/2020 19:08:36,Blazin Asian,5,Rosemary,,0
2-3,9/20/2020 19:08:41,Team Matigale,5,Celery,,0
2-3,9/20/2020 19:08:48,Fellowship of the Beer,3,Horseradish,x,3
2-3,9/20/2020 19:09:09,Team Bag-Bo,5,cayenne,,0
2-4,9/20/2020 19:09:38,Team Jax,7,Alexander the Great,x,7
2-4,9/20/2020 19:09:39,Team Bag-Bo,7,Alexander the Great,x,7
2-4,9/20/2020 19:09:56,Fellowship of the Beer,5,Alexander the Great,x,5
2-4,9/20/2020 19:10:01,Mack Wickell,7,Philip of Macedonia,,0
2-4,9/20/2020 19:10:02,Team Matigale,7,Alexander the Great! ,x,7
2-4,9/20/2020 19:10:23,Team MBF,3,Julius Cesear (??),,0
2-4,9/20/2020 19:10:43,Skinny Legends,8,plato,,0
2-4,9/20/2020 19:11:08,Blazin Asian,7,Alexander the Great,x,7
3-1,9/20/2020 19:19:13,Mack Wickell,2,Louis Vuitton,x,2
3-1,9/20/2020 19:19:14,Blazin Asian,8,Louis Vuitton,x,8
3-1,9/20/2020 19:19:40,Team MBF,4,Hermes,,0
3-1,9/20/2020 19:19:41,Fellowship of the Beer,4,Louis Vuitton,x,4
3-1,9/20/2020 19:20:11,Skinny Legends,2,LVMH,x,2
3-1,9/20/2020 19:20:14,Team Bag-Bo,4,Hermes,,0
3-1,9/20/2020 19:20:31,Team Jax,8,Louis Vouitton,x,8
3-1,9/20/2020 19:20:53,Team Matigale,2,Louis Vuitton,x,2
3-2,9/20/2020 19:24:58,Team Bag-Bo,2,Prime,,0
3-2,9/20/2020 19:24:58,Team MBF,2,Pro ,,0
3-2,9/20/2020 19:25:04,Mack Wickell,6,Quest,x,6
3-2,9/20/2020 19:25:31,Blazin Asian,2,The Beat Saber Goggles,,0
3-2,9/20/2020 19:25:35,Team Jax,1,Rift,,0
3-2,9/20/2020 19:25:41,Team Matigale,6,Occulus Quest,x,6
3-2,9/20/2020 19:25:47,Fellowship of the Beer,2,Occulus Rift (no S),,0
3-2,9/20/2020 19:26:03,Skinny Legends,1,idk,,0
3-3,9/20/2020 19:27:05,Blazin Asian,4,Hijra,,0
3-3,9/20/2020 19:27:26,Mack Wickell,4,Tithe,,0
3-3,9/20/2020 19:27:37,Fellowship of the Beer,6,Pillar of Generosity ,,0
3-3,9/20/2020 19:27:48,Skinny Legends,8,:),,0
3-3,9/20/2020 19:28:12,Team Jax,4,Sacat,x,4
3-3,9/20/2020 19:28:13,Team Bag-Bo,6,Fourth,,0
3-3,9/20/2020 19:28:18,Team MBF,6,Tithes (?),,0
3-3,9/20/2020 19:28:28,Team Matigale,8,hajj,,0
3-4,9/20/2020 19:29:51,Blazin Asian,6,Cyprus,,0
3-4,9/20/2020 19:30:05,Team Jax,2,Syracuse,,0
3-4,9/20/2020 19:30:13,Team MBF,8,Santorini ,,0
3-4,9/20/2020 19:30:18,Skinny Legends,8,santorini,,0
3-4,9/20/2020 19:30:51,Mack Wickell,8,Atlantis,,0
3-4,9/20/2020 19:30:54,Team Bag-Bo,8,Ithaca,x,8
3-4,9/20/2020 19:31:18,Team Matigale,4,Crete,,0
3-4,9/20/2020 19:31:45,Fellowship of the Beer,8,Delphi,,0
4-1,9/20/2020 19:45:05,Skinny Legends,4,the lazy song,,0
4-1,9/20/2020 19:45:08,Mack Wickell,4,Grenade,,0
4-1,9/20/2020 19:45:17,Blazin Asian,8,Just the Way You Are,x,8
4-1,9/20/2020 19:45:36,Team Bag-Bo,6,Grenade ,,0
4-1,9/20/2020 19:45:44,Fellowship of the Beer,4,Grenade,,0
4-1,9/20/2020 19:45:47,Team MBF,4,Grenade ,,0
4-1,9/20/2020 19:46:16,Team Jax,2,Grenade,,0
4-1,9/20/2020 19:46:24,Team Matigale,6,Just the Way you are ,x,6
4-2,9/20/2020 19:46:51,Mack Wickell,8,Dark N Stormy,x,8
4-2,9/20/2020 19:47:01,Fellowship of the Beer,8,Dark and Stormy,x,8
