Question,Time,Team,Wager,Answer,Correct,Points_Earned
3-2,10/4/2020 19:17:41,Skinny Legends,6,candyland,x,6
3-2,10/4/2020 19:18:02,Team Bag-Bo,8,Candy Land,x,8
3-2,10/4/2020 19:18:05,QotD,6,Candyland,x,6
3-2,10/4/2020 19:18:08,Team Jax,4,Candyland,x,4
3-3,10/4/2020 19:19:42,Mack Wickell,8,Sputnik,x,8
3-3,10/4/2020 19:19:44,Team Jax,8,Sputnik,x,8
3-3,10/4/2020 19:19:46,Team Bag-Bo,6,Sputnik,x,6
3-3,10/4/2020 19:19:47,Fellowship of the Beer,6,Sputnik (but we won the space race),x,6
3-3,10/4/2020 19:19:51,QotD,8,Sputnik,x,8
3-3,10/4/2020 19:19:54,Skinny Legends,4,that russian shit... aka sputnik,x,4
3-3,10/4/2020 19:20:17,Team Matigale,4,Sputnik (I),x,4
3-3,10/4/2020 19:20:19,Team MBF,4,Explorer 1 (?),,0
3-4,10/4/2020 19:21:32,Mack Wickell,4,Virgin,x,4
3-4,10/4/2020 19:21:45,Team Jax,6,Virgin,x,6
3-4,10/4/2020 19:21:50,Skinny Legends,2,virgin,x,2
3-4,10/4/2020 19:21:57,Team Matigale,6,Virgin,x,6
3-4,10/4/2020 19:22:20,Team MBF,6,Disney,,0
3-4,10/4/2020 19:22:41,QotD,4,Verizon,,0
3-4,10/4/2020 19:22:46,Team Bag-Bo,4,Verizon,,0
3-4,10/4/2020 19:22:52,Fellowship of the Beer,4,Vodaphone,,0
4-1,10/4/2020 19:34:31,Mack Wickell,2,13,x,2
4-1,10/4/2020 19:34:36,Team Bag-Bo,2,5,,0
4-1,10/4/2020 19:34:40,Skinny Legends,8,13,x,8
4-1,10/4/2020 19:34:58,Team Matigale,4,13 Doctors,x,4
4-1,10/4/2020 19:35:13,Team MBF,2,1 lol?,,0
4-1,10/4/2020 19:35:35,Fellowship of the Beer,2,47,,0
4-1,10/4/2020 19:35:41,QotD,2,9 mom's favorite #,,0
4-1,10/4/2020 19:36:46,Team Jax,2,10,,0
4-2,10/4/2020 19:37:49,Mack Wickell,4,1957,,0
4-2,10/4/2020 19:38:19,QotD,6,1959,x,6
4-2,10/4/2020 19:38:32,Team Bag-Bo,4,1957,,0
4-2,10/4/2020 19:38:46,Team Matigale,2,1963,,0
4-2,10/4/2020 19:38:48,Team Jax,4,1959,x,4
4-2,10/4/2020 19:38:51,Fellowship of the Beer,4,1962,,0
4-2,10/4/2020 19:39:18,Team MBF,4,1967 ekk,,0
4-2,10/4/2020 19:39:56,Skinny Legends,2,1970,,0
4-3,10/4/2020 19:42:46,QotD,8,Virgo ,x,8
4-3,10/4/2020 19:42:51,Mack Wickell,6,taurus,,0
4-3,10/4/2020 19:42:55,Team Jax,8,Cancer,,0
4-3,10/4/2020 19:43:05,Team Matigale,8,Virgo,x,8
4-3,10/4/2020 19:43:12,Team Bag-Bo,6,Aries,,0
4-3,10/4/2020 19:43:25,Fellowship of the Beer,6,Gemini,,0
4-3,10/4/2020 19:43:36,Team MBF,6,Cancer,,0
4-3,10/4/2020 19:43:38,Skinny Legends,4,cancer,,0
4-4,10/4/2020 19:47:10,Team Bag-Bo,8,1971,x,8
4-4,10/4/2020 19:47:13,Mack Wickell,8,1971,x,8
4-4,10/4/2020 19:47:27,Fellowship of the Beer,8,1978,,0
4-4,10/4/2020 19:47:27,QotD,4,1826,,0
4-4,10/4/2020 19:47:41,Team Matigale,6,1971,x,6
4-4,10/4/2020 19:48:16,Team Jax,6,1962,,0
4-4,10/4/2020 19:48:29,Skinny Legends,6,1914,,0
4-4,10/4/2020 19:48:46,Team MBF,8,1973,,0
