Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Fellowship of the Beer,9,,Fellowship of the Beer,,,Fellowship of the Beer,9
Skinny Legends,7,,Skinny Legends,,,Skinny Legends,7
Team MBF,8,,Team MBF,,,Team MBF,6
Mack Wickell,6,,Mack Wickell,,,Mack Wickell,7
Team Matigale,8,,Team Matigale,,,Team Matigale,6.5
Team Bag-Bo,7,,Team Bag-Bo,3,,Team Bag-Bo,4
Team Jax,7,,Team Jax,,,Team Jax,8
QotD,3,,QotD,,,QotD,6
